,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
46,Pori Junior,0,0,0,0,107,7,0,107,7,0,535,35,570
77,NuNo,0,100,0,0,178,1,0,78,1,0,390,5,395
12,brokenjade,2,2527,161,2,2593,167,0,66,6,0,330,30,360
52,milleeee,0,567,9,0,633,13,0,66,4,0,330,20,350
58,Kaelthas27,3,780,8,3,829,10,0,49,2,0,245,10,255
48,Dimsa,0,183,18,0,224,24,0,41,6,0,205,30,235
54,viktorija,0,194,9,0,238,12,0,44,3,0,220,15,235
5,Theomore,0,1351,200,0,1393,204,0,42,4,0,210,20,230
60,R1m,0,1760,8,0,1804,8,0,44,0,0,220,0,220
82,Lord Frost,0,168,0,0,209,0,0,41,0,0,205,0,205
10,SlackOfDoom,45,1669,166,45,1705,170,0,36,4,0,180,20,200
19,xstanfordx,0,2215,114,0,2254,115,0,39,1,0,195,5,200
70,tiddabeth,0,905,4,0,940,4,0,35,0,0,175,0,175
17,Dasharath,4896,1216,118,4896,1244,123,0,28,5,0,140,25,165
76,Qkate,0,321,1,0,354,1,0,33,0,0,165,0,165
11,StankoSRBLFC,1851,1657,166,1851,1686,169,0,29,3,0,145,15,160
24,17Palad1nOnm,2,1379,78,3,1408,80,1,29,2,1,145,10,156
83,KEVA MILEVA,0,113,0,0,144,0,0,31,0,0,155,0,155
68,SFuRak,5836,1650,4,5836,1681,4,0,31,0,0,155,0,155
75,UhtredR,2,984,1,2,1015,1,0,31,0,0,155,0,155
78,Liable1,0,30,1,0,61,1,0,31,0,0,155,0,155
28,SATNAM1R,0,357,65,0,384,69,0,27,4,0,135,20,155
41,Brooster,0,748,28,0,779,28,0,31,0,0,155,0,155
14,koddi,6,1103,140,6,1128,145,0,25,5,0,125,25,150
63,BOrke,0,116,6,0,143,8,0,27,2,0,135,10,145
38,pembaa,0,630,31,0,655,35,0,25,4,0,125,20,145
21,MaceWindujr,1277,1937,97,1277,1963,100,0,26,3,0,130,15,145
36,Wntrking,0,295,36,0,321,39,0,26,3,0,130,15,145
44,Boss X,51,863,25,51,890,26,0,27,1,0,135,5,140
59,Huuloc,0,449,6,0,474,9,0,25,3,0,125,15,140
73,Eragon67,1,869,2,1,896,2,0,27,0,0,135,0,135
33,SireMuch,4,263,47,4,285,52,0,22,5,0,110,25,135
0,King Rale,177,2429,290,177,2449,297,0,20,7,0,100,35,135
51,EnchantressM,0,1508,18,0,1535,18,0,27,0,0,135,0,135
69,MariaZoe,1,1319,4,1,1346,4,0,27,0,0,135,0,135
13,Klaus Schnee,0,1142,140,0,1164,145,0,22,5,0,110,25,135
66,ZENZEY,0,1122,5,0,1149,5,0,27,0,0,135,0,135
64,MORTI,196,1942,6,196,1969,6,0,27,0,0,135,0,135
65,arcane,0,1126,5,0,1152,5,0,26,0,0,130,0,130
72,Mindaugyno,3,556,3,3,582,3,0,26,0,0,130,0,130
62,Thos,2,875,8,2,901,8,0,26,0,0,130,0,130
39,didialfeim,0,1138,32,0,1163,33,0,25,1,0,125,5,130
18,SEARCHER,1525,1676,107,1525,1690,118,0,14,11,0,70,55,125
3,EDOX,1631,1947,242,1631,1969,245,0,22,3,0,110,15,125
86,Sandra Lady,0,88,0,0,112,0,0,24,0,0,120,0,120
9,Wareblade,0,678,172,0,699,175,0,21,3,0,105,15,120
42,komyc,2743,1579,24,2743,1601,26,0,22,2,0,110,10,120
20,Maverick,0,629,105,0,647,111,0,18,6,0,90,30,120
22,Blackrainbow,5,943,85,5,961,90,0,18,5,0,90,25,115
67,Lord Lesa,0,118,5,0,141,5,0,23,0,0,115,0,115
40,Lord Anibal,21,1067,30,21,1090,30,0,23,0,0,115,0,115
30,trevers,0,338,57,0,357,61,0,19,4,0,95,20,115
31,FreyaMaiden,0,671,54,0,691,57,0,20,3,0,100,15,115
80,Foxxy,3265,1510,0,3265,1532,0,0,22,0,0,110,0,110
27,Draakir,0,691,64,0,708,69,0,17,5,0,85,25,110
81,SERHAT STARK,0,359,0,0,381,0,0,22,0,0,110,0,110
32,Fyre,0,273,51,0,292,54,0,19,3,0,95,15,110
85,zui,0,102,0,0,124,0,0,22,0,0,110,0,110
4,pikabooooo,954,864,210,954,882,214,0,18,4,0,90,20,110
71,ANASTASIAs,0,81,4,0,103,4,0,22,0,0,110,0,110
61,docente,1192,1334,8,1192,1356,8,0,22,0,0,110,0,110
84,Lilith Lilit,2,109,0,2,130,0,0,21,0,0,105,0,105
74,sakis111,0,400,2,0,421,2,0,21,0,0,105,0,105
47,Milos Iva,0,77,21,0,94,25,0,17,4,0,85,20,105
57,Csapek,0,1029,10,0,1050,10,0,21,0,0,105,0,105
55,malimiki,3449,1077,11,3449,1098,11,0,21,0,0,105,0,105
56,Sir Mogque,0,1029,10,0,1050,10,0,21,0,0,105,0,105
50,Skipka,0,387,18,0,407,19,0,20,1,0,100,5,105
2,Guts Black,2852,1808,246,2852,1824,251,0,16,5,0,80,25,105
1,Lord Gitter,1251,1227,267,1251,1247,268,0,20,1,0,100,5,105
37,GEERT,868,1369,38,868,1390,38,0,21,0,0,105,0,105
6,JohnHawkwood,2018,2019,192,2018,2037,195,0,18,3,0,90,15,105
29,RMonn,0,703,64,0,720,68,0,17,4,0,85,20,105
7,BuharaShroom,12,1010,178,12,1026,182,0,16,4,0,80,20,100
16,Duke Martin,2095,1343,126,2095,1362,127,0,19,1,0,95,5,100
35,Freyyr,0,615,40,0,633,42,0,18,2,0,90,10,100
8,mirjan,11,813,175,11,829,178,0,16,3,0,80,15,95
23,12M,1422,1086,79,1422,1103,81,0,17,2,0,85,10,95
45,Daessa,0,464,25,0,482,26,0,18,1,0,90,5,95
87,NotTodayMate,0,0,0,0,18,0,0,18,0,0,90,0,90
43,vampirewolfG,1,1075,26,1,1093,26,0,18,0,0,90,0,90
26,Odr,3,534,70,3,547,74,0,13,4,0,65,20,85
34,Traksimus,0,235,49,0,252,49,0,17,0,0,85,0,85
15,Kingsy D,3473,1339,139,3473,1352,142,0,13,3,0,65,15,80
49,Beha,0,296,23,0,310,23,0,14,0,0,70,0,70
88,Alice Fart,0,0,0,0,11,0,0,11,0,0,55,0,55
25,SashaM,799,2085,76,799,2095,76,0,10,0,0,50,0,50
53,buddha6366,845,1314,12,845,1324,12,0,10,0,0,50,0,50
90,30PAH,0,0,0,0,7,0,0,7,0,0,35,0,35
91,jaegerss,0,0,0,0,7,0,0,7,0,0,35,0,35
79,IronPrice,0,0,0,0,6,1,0,6,1,0,30,5,35
89,SmallPants,0,0,0,0,7,0,0,7,0,0,35,0,35
92,Zenturion,0,0,0,0,6,0,0,6,0,0,30,0,30
93,QKate8,0,0,0,1,0,0,1,0,0,1,0,0,1
94,RoGue Prince,0,0,0,0,0,0,0,0,0,0,0,0,0
