Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
MACACS,2096,85,2351.0,0,0,0,2351.0
Sealiah X,94,490,1564.0,94,338,1108.0,456.0
xLestat,1,269,808.0,1,200,601.0,207.0
Mikey AlThor,507,1808,5931.0,507,1739,5724.0,207.0
DeeAnna,90,328,1074.0,72,269,879.0,195.0
HussyofWhips,1019,1733,6218.0,1019,1668,6023.0,195.0
Han,208,114,550.0,172,63,361.0,189.0
ELENA,291,442,1617.0,291,379,1428.0,189.0
QuickSiLver,778,0,778.0,598,0,598.0,180.0
dingleberry,8,937,2819.0,8,882,2654.0,165.0
Rubein,105,954,2967.0,105,900,2805.0,162.0
DarkLord Dan,2474,324,3446.0,2474,270,3284.0,162.0
Cassana,152,3,161.0,0,0,0,161.0
ArT,468,1108,3792.0,468,1057,3639.0,153.0
Dark Asha,688,1148,4132.0,688,1098,3982.0,150.0
Vhaera Black,314,233,1013.0,314,183,863.0,150.0
WRONG TURN,2556,21,2619.0,2410,20,2470.0,149.0
SlackOfDoom,1429,482,2875.0,1403,441,2726.0,149.0
Cromwell 1,2779,54,2941.0,2633,54,2795.0,146.0
DaisY,2,155,467.0,0,107,321.0,146.0
WiTchKing,709,0,709.0,564,0,564.0,145.0
ThomasShelbY,316,244,1048.0,316,196,904.0,144.0
arcane,3584,156,4052.0,3552,119,3909.0,143.0
valkyria,844,310,1774.0,844,263,1633.0,141.0
Professor X,701,0,701.0,560,0,560.0,141.0
MacGG,7,333,1006.0,5,287,866.0,140.0
fearless,638,227,1319.0,625,185,1180.0,139.0
freeze3,2608,1,2611.0,2469,1,2472.0,139.0
Cormund,2139,449,3486.0,2139,403,3348.0,138.0
ODYSSEAS,2466,283,3315.0,2391,262,3177.0,138.0
DraConiS,2500,144,2932.0,2417,126,2795.0,137.0
Cloud Strife,3625,0,3625.0,3488,0,3488.0,137.0
DETH,325,0,325.0,189,0,189.0,136.0
NEBULA,2771,435,4076.0,2767,391,3940.0,136.0
Tom CatZ,17,289,884.0,17,244,749.0,135.0
Argeade 88,1561,34,1663.0,1441,29,1528.0,135.0
Blackrainbow,892,825,3367.0,883,784,3235.0,132.0
ZaKi,656,1,659.0,524,1,527.0,132.0
knyaz Elemag,543,324,1515.0,534,283,1383.0,132.0
KAWO,900,311,1833.0,900,267,1701.0,132.0
BRUTALES,214,744,2446.0,214,700,2314.0,132.0
NotTodayMate,1717,331,2710.0,1670,303,2579.0,131.0
asparuhdo,1148,332,2144.0,1141,291,2014.0,130.0
king kira,306,6,324.0,179,5,194.0,130.0
EnchantressM,4,42,130.0,0,0,0,130.0
cerveau lent,2832,576,4560.0,2832,533,4431.0,129.0
Baji Keisuke,110,360,1190.0,98,321,1061.0,129.0
Lala TheGrey,0,280,840.0,0,237,711.0,129.0
Omnos,114,119,471.0,97,82,343.0,128.0
Lady aurora,1,306,919.0,1,264,793.0,126.0
BABAVOSS,54,24,126.0,0,0,0,126.0
GrimReaPer,1901,273,2720.0,1901,231,2594.0,126.0
DIKEFALOS21,11,161,494.0,8,120,368.0,126.0
voLo,31,322,997.0,31,280,871.0,126.0
Fenryrr,2938,360,4018.0,2938,318,3892.0,126.0
CastleFarmer,3194,10,3224.0,3068,10,3098.0,126.0
HELLCAT,1,321,964.0,1,279,838.0,126.0
ROMEOKTON,2026,278,2860.0,2026,236,2734.0,126.0
Zobhard,506,222,1172.0,491,185,1046.0,126.0
CerberusS,3081,106,3399.0,2956,106,3274.0,125.0
ANAXIMANDROS,1128,553,2787.0,1123,513,2662.0,125.0
17palad1nonm,2,148,446.0,2,107,323.0,123.0
How2Play,12,223,681.0,11,183,560.0,121.0
brokenjade,814,1531,5407.0,807,1493,5286.0,121.0
Bloodfighter,118,0,118.0,0,0,0,118.0
Lady Tay,1,292,877.0,1,253,760.0,117.0
imPIOus,1770,81,2013.0,1662,78,1896.0,117.0
SpanishFly,2000,297,2891.0,2000,260,2780.0,111.0
RaisingD,1464,185,2019.0,1464,148,1908.0,111.0
The Spikerer,652,1105,3967.0,652,1069,3859.0,108.0
NHL,546,439,1863.0,545,404,1757.0,106.0
Avalonati,1807,224,2479.0,1791,197,2382.0,97.0
DeathDealerV,28,306,946.0,28,275,853.0,93.0
ShudaBubbled,0,43,129.0,0,12,36.0,93.0
parthXD,1697,121,2060.0,1651,106,1969.0,91.0
Schurke66,0,30,90.0,0,0,0,90.0
Kim sSeok,935,19,992.0,847,19,904.0,88.0
Kaison Baby,668,648,2612.0,668,619,2525.0,87.0
HasturX,980,807,3401.0,979,781,3322.0,79.0
cpl Thanos,987,637,2898.0,987,612,2823.0,75.0
Hohonok,19,941,2842.0,19,916,2767.0,75.0
Munchies,649,91,922.0,648,69,855.0,67.0
swordss,507,349,1554.0,507,328,1491.0,63.0
Borutatos,0,19,57.0,0,0,0,57.0
Ebony Maw,2955,1470,7365.0,2955,1453,7314.0,51.0
Aaron2000,20,8,44.0,0,0,0,44.0
MariaZoe,0,13,39.0,0,0,0,39.0
