Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
Sealiah X,94,47,235.0,76,0,76.0,159.0
HussyofWhips,1019,1466,5417.0,1019,1428,5303.0,114.0
QuickSiLver,300,0,300.0,196,0,196.0,104.0
DeeAnna,36,154,498.0,29,123,398.0,100.0
HasturX,979,675,3004.0,978,642,2904.0,100.0
STITCHES,163,52,319.0,102,43,231.0,88.0
GrimReaPer,1901,156,2369.0,1901,128,2285.0,84.0
Lord Rufus,329,117,680.0,320,92,596.0,84.0
Mikey AlThor,503,1586,5261.0,503,1558,5177.0,84.0
Lala TheGrey,0,133,399.0,0,105,315.0,84.0
ELENA,288,274,1110.0,287,247,1028.0,82.0
BIGBAD PANDA,511,941,3334.0,502,917,3253.0,81.0
Bigbadguy,2950,1538,7564.0,2942,1515,7487.0,77.0
SlackOfDoom,1374,357,2445.0,1351,339,2368.0,77.0
Lady aurora,1,182,547.0,1,157,472.0,75.0
WRONG TURN,2120,20,2180.0,2047,20,2107.0,73.0
knyaz Elemag,534,192,1110.0,512,175,1037.0,73.0
Cassana,2462,32,2558.0,2390,32,2486.0,72.0
Professor X,247,0,247.0,176,0,176.0,71.0
voLo,27,193,606.0,23,171,536.0,70.0
DarkLord Dan,2474,172,2990.0,2404,172,2920.0,70.0
cerveau lent,2832,445,4167.0,2832,422,4098.0,69.0
Fenryrr,2938,243,3667.0,2938,220,3598.0,69.0
Cormund,2127,325,3102.0,2127,302,3033.0,69.0
Lady Tay,1,169,508.0,1,146,439.0,69.0
Dark Asha,688,989,3655.0,688,966,3586.0,69.0
Cromwell 1,2362,54,2524.0,2294,54,2456.0,68.0
ozyshroom,139,49,286.0,92,42,218.0,68.0
Ragnaroku,723,28,807.0,664,25,739.0,68.0
NotTodayMate,1558,260,2338.0,1527,248,2271.0,67.0
Fat Troll,4,36,112.0,0,15,45.0,67.0
How2Play,11,87,272.0,11,65,206.0,66.0
Rubein,105,800,2505.0,105,778,2439.0,66.0
HODOR,2449,14,2491.0,2383,14,2425.0,66.0
L3V ETEE,0,142,426.0,0,120,360.0,66.0
HELLCAT,1,198,595.0,1,176,529.0,66.0
Vhaera Black,282,105,597.0,279,84,531.0,66.0
DucdeNalfar,32,15,77.0,5,2,11.0,66.0
WiTchKing,249,0,249.0,183,0,183.0,66.0
Bloodfighter,218,130,608.0,186,119,543.0,65.0
fearless,618,105,933.0,611,86,869.0,64.0
imPIOus,1438,75,1663.0,1401,66,1599.0,64.0
ODYSSEAS,2255,223,2924.0,2245,205,2860.0,64.0
Cloud Strife,3224,0,3224.0,3160,0,3160.0,64.0
brokenjade,799,1376,4927.0,799,1355,4864.0,63.0
OnePieceOfAl,886,114,1228.0,844,107,1165.0,63.0
DIKEFALOS21,0,36,108.0,0,15,45.0,63.0
PIuRRulP,743,127,1124.0,725,112,1061.0,63.0
SpanishFly,2000,173,2519.0,2000,152,2456.0,63.0
xLestat,1,92,277.0,1,71,214.0,63.0
Omnos,76,17,127.0,31,11,64.0,63.0
Tom CatZ,17,154,479.0,17,133,416.0,63.0
ArT,468,965,3363.0,468,944,3300.0,63.0
dingleberry,8,789,2375.0,8,768,2312.0,63.0
valkyria,844,184,1396.0,844,163,1333.0,63.0
NEBULA,2762,294,3644.0,2741,280,3581.0,63.0
parthXD,1451,84,1703.0,1403,79,1640.0,63.0
Mr Wrinkles,1166,383,2315.0,1166,362,2252.0,63.0
Argeade 88,1207,23,1276.0,1144,23,1213.0,63.0
Madian II,2955,1399,7152.0,2955,1378,7089.0,63.0
draconis,2229,101,2532.0,2182,96,2470.0,62.0
arcane,3460,57,3631.0,3435,45,3570.0,61.0
freeze3,2206,1,2209.0,2145,1,2148.0,61.0
Harold,1664,1081,4907.0,1664,1061,4847.0,60.0
BRUTALES,212,622,2078.0,212,602,2018.0,60.0
CerberusS,2728,106,3046.0,2668,106,2986.0,60.0
Lohki,181,414,1423.0,181,394,1363.0,60.0
MacGG,5,205,620.0,0,187,561.0,59.0
ThomasShelbY,316,110,646.0,315,91,588.0,58.0
asparuhdo,1101,221,1764.0,1082,208,1706.0,58.0
DeathDealerV,27,199,624.0,21,182,567.0,57.0
Blackrainbow,883,704,2995.0,874,688,2938.0,57.0
Baji Keisuke,92,238,806.0,92,219,749.0,57.0
Hoba,93,0,93.0,36,0,36.0,57.0
Zobhard,451,114,793.0,444,98,738.0,55.0
17Palad1nOnm,0,26,78.0,0,8,24.0,54.0
Loekas20,2090,271,2903.0,2051,266,2849.0,54.0
ROMEOKTON,2026,154,2488.0,2026,136,2434.0,54.0
MACACS,1785,76,2013.0,1738,74,1960.0,53.0
RaisingD,1464,94,1746.0,1464,77,1695.0,51.0
ZaKi,209,0,209.0,159,0,159.0,50.0
CastleFarmer,2816,10,2846.0,2766,10,2796.0,50.0
Kaison Baby,668,570,2378.0,668,554,2330.0,48.0
NHL,545,317,1496.0,540,303,1449.0,47.0
Avalonati,1743,151,2196.0,1730,140,2150.0,46.0
cpl Thanos,985,570,2695.0,979,557,2650.0,45.0
KAWO,896,188,1460.0,896,173,1415.0,45.0
Kim sSeok,697,19,754.0,652,19,709.0,45.0
The Spikerer,652,987,3613.0,652,972,3568.0,45.0
ANAXIMANDROS,1121,448,2465.0,1119,437,2430.0,35.0
vampirewolfG,1443,192,2019.0,1442,181,1985.0,34.0
Hohonok,19,874,2641.0,19,864,2611.0,30.0
ShudaBubbled,14,97,305.0,11,89,278.0,27.0
swordss,498,266,1296.0,495,258,1269.0,27.0
Han,47,3,56.0,26,3,35.0,21.0
KeNshin,0,5,15.0,0,0,0,15.0
Stiele,260,135,665.0,246,135,651.0,14.0
DaisY,0,1,3.0,0,0,0,3.0
Munchies,638,43,767.0,636,43,765.0,2.0
Total,,,180190.00,,,174051.00,6139.00
