,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
65,SFuRak,0,0,0,5834,1075,4,5834,1075,4,5834,5375,20,11229
0,King Rale,0,0,0,176,1792,157,176,1792,157,176,8960,785,9921
5,Guts Black,0,0,0,2851,1240,122,2851,1240,122,2851,6200,610,9661
7,JohnHawkwood,0,0,0,2018,1399,108,2018,1399,108,2018,6995,540,9553
3,EDOX,0,0,0,1631,1289,143,1631,1289,143,1631,6445,715,8791
25,Dasharath,0,0,0,4892,670,55,4892,670,55,4892,3350,275,8517
30,SashaM,0,0,0,799,1488,48,799,1488,48,799,7440,240,8479
17,Kingsy D,0,0,0,3456,901,67,3456,901,67,3456,4505,335,8296
38,MaceWindujr,0,0,0,1276,1362,33,1276,1362,33,1276,6810,165,8251
1,trevers,0,0,0,1456,1173,151,1456,1173,151,1456,5865,755,8076
4,Fyre,0,0,0,2124,893,143,2124,893,143,2124,4465,715,7304
40,SEARCHER,0,0,0,1525,1117,30,1525,1117,30,1525,5585,150,7260
79,komyc,0,0,0,2743,872,0,2743,872,0,2743,4360,0,7103
80,Foxxy,0,0,0,3265,720,0,3265,720,0,3265,3600,0,6865
16,Duke Martin,0,0,0,2095,843,71,2095,843,71,2095,4215,355,6665
64,MORTI,0,0,0,196,1219,4,196,1219,4,196,6095,20,6311
66,30PAH,0,0,0,3372,579,4,3372,579,4,3372,2895,20,6287
2,Lord Gitter,0,0,0,1251,850,144,1251,850,144,1251,4250,720,6221
53,malimiki,0,0,0,3449,532,9,3449,532,9,3449,2660,45,6154
11,StankoSRBLFC,0,0,0,1851,739,98,1851,739,98,1851,3695,490,6036
42,GEERT,0,0,0,868,860,24,868,860,24,868,4300,120,5288
58,buddha6366,0,0,0,842,835,8,842,835,8,842,4175,40,5057
78,Joselin,0,0,0,0,960,0,0,960,0,0,4800,0,4800
8,MorganKell,0,0,0,0,816,103,0,816,103,0,4080,515,4595
61,Karlosas,0,0,0,0,911,5,0,911,5,0,4555,25,4580
37,12M,0,0,0,1421,594,37,1421,594,37,1421,2970,185,4576
10,HussyofWhips,0,0,0,0,739,100,0,739,100,0,3695,500,4195
60,docente,0,0,0,1189,582,7,1189,582,7,1189,2910,35,4134
68,EnchantressM,0,0,0,0,794,2,0,794,2,0,3970,10,3980
26,xstanfordx,0,0,0,0,738,54,0,738,54,0,3690,270,3960
6,pikabooooo,0,0,0,954,448,122,954,448,122,954,2240,610,3804
43,Wntrking,0,0,0,0,735,22,0,735,22,0,3675,110,3785
62,R1m,0,0,0,0,737,5,0,737,5,0,3685,25,3710
28,ELENA,0,0,0,0,637,53,0,637,53,0,3185,265,3450
39,17palad1nonm,0,0,0,0,627,32,0,627,32,0,3135,160,3295
15,BuharaShroom,0,0,0,12,566,87,12,566,87,12,2830,435,3277
14,Theomore,0,0,0,0,559,92,0,559,92,0,2795,460,3255
33,KING MAXIMUS,0,0,0,0,601,43,0,601,43,0,3005,215,3220
72,MariaZoe,0,0,0,0,622,1,0,622,1,0,3110,5,3115
20,SlackOfDoom,0,0,0,38,544,64,38,544,64,38,2720,320,3078
23,koddi,0,0,0,6,552,60,6,552,60,6,2760,300,3066
