,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
78,NuNo,0,405,1,0,747,1,0,342,0,0,1710,0,1710
20,xstanfordx,0,2446,120,0,2640,121,0,194,1,0,970,5,975
11,SlackOfDoom,45,1821,177,45,1973,179,0,152,2,0,760,10,770
63,Huuloc,0,643,10,0,779,10,0,136,0,0,680,0,680
50,milleeee,0,804,21,0,929,24,0,125,3,0,625,15,640
10,brokenjade,3,2744,180,3,2831,183,0,87,3,0,435,15,450
41,Dimsa,0,310,32,0,396,36,0,86,4,0,430,20,450
40,didialfeim,0,1236,36,0,1294,36,0,58,0,0,290,0,290
59,Mikey AlThor,0,82,6,0,124,12,0,42,6,0,210,30,240
48,vampirewolfG,1,1149,26,1,1194,26,0,45,0,0,225,0,225
66,MORTI,196,2027,6,196,2072,6,0,45,0,0,225,0,225
53,viktorija,0,316,18,0,357,21,0,41,3,0,205,15,220
5,Theomore,0,1474,214,0,1513,218,0,39,4,0,195,20,215
84,Lord Frost,0,284,0,0,325,0,0,41,0,0,205,0,205
52,EnchantressM,0,1589,21,0,1630,21,0,41,0,0,205,0,205
21,MaceWindujr,1277,2029,104,1277,2065,107,0,36,3,0,180,15,195
13,Klaus Schnee,0,1203,154,0,1235,159,0,32,5,0,160,25,185
64,R1m,0,1892,8,0,1929,8,0,37,0,0,185,0,185
23,17Palad1nOnm,3,1486,82,3,1515,88,0,29,6,0,145,30,175
70,MariaZoe,1,1405,4,1,1440,4,0,35,0,0,175,0,175
71,tiddabeth,0,1032,4,0,1066,4,0,34,0,0,170,0,170
3,EDOX,1631,2021,254,1631,2050,257,0,29,3,0,145,15,160
54,BOrke,0,190,14,0,222,14,0,32,0,0,160,0,160
61,docente,1192,1398,8,1192,1428,10,0,30,2,0,150,10,160
73,Set Ral,0,20,2,0,51,3,0,31,1,0,155,5,160
28,trevers,0,399,71,0,427,75,0,28,4,0,140,20,160
74,Eragon67,1,951,2,1,982,2,0,31,0,0,155,0,155
36,pembaa,0,714,43,0,740,48,0,26,5,0,130,25,155
42,Brooster,0,823,31,0,852,31,0,29,0,0,145,0,145
26,SATNAM1R,0,436,78,0,459,84,0,23,6,0,115,30,145
77,UhtredR,2,1084,1,2,1112,1,0,28,0,0,140,0,140
46,Daessa,0,515,30,0,543,30,0,28,0,0,140,0,140
