Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
Bigbadguy,2941,1266,6739.0,0,0,0,6739.0
Madian II,2954,1144,6386.0,0,0,0,6386.0
Harold,1611,870,4221.0,0,0,0,4221.0
Mikey AlThor,495,1195,4080.0,0,0,0,4080.0
brokenjade,787,1083,4036.0,0,0,0,4036.0
HussyofWhips,1000,982,3946.0,0,0,0,3946.0
cerveau lent,2808,119,3165.0,0,0,0,3165.0
The Spikerer,652,800,3052.0,0,0,0,3052.0
NEBULA,2405,194,2987.0,0,0,0,2987.0
Dark Asha,685,749,2932.0,0,0,0,2932.0
arcane,2876,5,2891.0,0,0,0,2891.0
Labalaskus,2181,233,2880.0,0,0,0,2880.0
THorus,2343,166,2841.0,0,0,0,2841.0
ArT,468,756,2736.0,0,0,0,2736.0
Thantios,591,681,2634.0,0,0,0,2634.0
Angelov ST,2360,75,2585.0,0,0,0,2585.0
Fenryrr,2569,1,2572.0,0,0,0,2572.0
BIGBAD PANDA,490,691,2563.0,0,0,0,2563.0
Cloud Strife,2531,0,2531.0,0,0,0,2531.0
eThea,1958,182,2504.0,0,0,0,2504.0
Cormund,2063,136,2471.0,0,0,0,2471.0
Blackrainbow,811,531,2404.0,0,0,0,2404.0
CerberusS,2069,106,2387.0,0,0,0,2387.0
Loekas20,1750,184,2302.0,0,0,0,2302.0
ODYSSEAS,1961,101,2264.0,0,0,0,2264.0
DarkLord Dan,1977,82,2223.0,0,0,0,2223.0
Blackpromise,2199,0,2199.0,0,0,0,2199.0
CastleFarmer,2158,10,2188.0,0,0,0,2188.0
HasturX,942,396,2130.0,0,0,0,2130.0
The Rohirrim,951,378,2085.0,0,0,0,2085.0
draconis,1722,66,1920.0,0,0,0,1920.0
ANAXIMANDROS,1018,297,1909.0,0,0,0,1909.0
Cromwell 1,1745,53,1904.0,0,0,0,1904.0
Hohonok,18,620,1878.0,0,0,0,1878.0
ROMEOKTON,1863,4,1875.0,0,0,0,1875.0
Kaison Baby,668,392,1844.0,0,0,0,1844.0
Cassana,1823,0,1823.0,0,0,0,1823.0
SpanishFly,1780,8,1804.0,0,0,0,1804.0
HODOR,1763,13,1802.0,0,0,0,1802.0
GrimReaPer,1654,11,1687.0,0,0,0,1687.0
SlackOfDoom,1169,164,1661.0,0,0,0,1661.0
Avalonati,1372,93,1651.0,0,0,0,1651.0
NotTodayMate,1191,152,1647.0,0,0,0,1647.0
NEBuULA,1200,149,1647.0,0,0,0,1647.0
dingleberry,8,533,1607.0,0,0,0,1607.0
Mr Wrinkles,1023,191,1596.0,0,0,0,1596.0
Rubein,104,495,1589.0,0,0,0,1589.0
freeze3,1499,1,1502.0,0,0,0,1502.0
SAFIN4O,1465,11,1498.0,0,0,0,1498.0
BRUTALES,208,430,1498.0,0,0,0,1498.0
vampirewolfG,1280,71,1493.0,0,0,0,1493.0
MACACS,1320,40,1440.0,0,0,0,1440.0
GoDDeSSoFWaR,1414,8,1438.0,0,0,0,1438.0
SirBillyS,431,326,1409.0,0,0,0,1409.0
Orlaith,1271,33,1370.0,0,0,0,1370.0
RaisingD,1289,10,1319.0,0,0,0,1319.0
GlossyDream,1022,80,1262.0,0,0,0,1262.0
Ramsden,1138,20,1198.0,0,0,0,1198.0
asparuhdo,868,87,1129.0,0,0,0,1129.0
BaelTheBard,1069,5,1084.0,0,0,0,1084.0
ShakGaR,946,43,1075.0,0,0,0,1075.0
ImPIOus,965,30,1055.0,0,0,0,1055.0
Evily Angel,1034,3,1043.0,0,0,0,1043.0
parthXD,900,28,984.0,0,0,0,984.0
Bam,885,2,891.0,0,0,0,891.0
Lohki,181,223,850.0,0,0,0,850.0
KAWO,771,17,822.0,0,0,0,822.0
Misteria,487,108,811.0,0,0,0,811.0
NHL,524,83,773.0,0,0,0,773.0
Unlore,475,93,754.0,0,0,0,754.0
Munchies,611,43,740.0,0,0,0,740.0
FireStorM,646,28,730.0,0,0,0,730.0
valkyria,674,18,728.0,0,0,0,728.0
Madi Slave,415,101,718.0,0,0,0,718.0
swordss,493,72,709.0,0,0,0,709.0
Argeade 88,624,15,669.0,0,0,0,669.0
Reaper Bear,333,90,603.0,0,0,0,603.0
Theah,595,0,595.0,0,0,0,595.0
Ebano,528,12,564.0,0,0,0,564.0
Mordreon,454,25,529.0,0,0,0,529.0
PIuRRulP,489,9,516.0,0,0,0,516.0
OnePieceOfAl,391,32,487.0,0,0,0,487.0
Kiku,456,9,483.0,0,0,0,483.0
Fat Troll,313,54,475.0,0,0,0,475.0
DucdeNalfar,443,6,461.0,0,0,0,461.0
knyaz Elemag,240,25,315.0,0,0,0,315.0
ElenaDrogon,219,29,306.0,0,0,0,306.0
fearless,239,13,278.0,0,0,0,278.0
Black wulf,231,0,231.0,0,0,0,231.0
Kim sSeok,195,8,219.0,0,0,0,219.0
Stiele,102,36,210.0,0,0,0,210.0
Zobhard,160,1,163.0,0,0,0,163.0
Lord Maxims,147,0,147.0,0,0,0,147.0
Baji Keisuke,22,13,61.0,0,0,0,61.0
Ragnaroku,40,6,58.0,0,0,0,58.0
Lord Rufus,28,0,28.0,0,0,0,28.0
ThomasShelbY,18,0,18.0,0,0,0,18.0
Nain Phomane,3,0,3.0,0,0,0,3.0
Total,,,158520.00,,,0.00,158520.00
