,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
26,SATNAM1R,0,0,0,0,436,78,0,436,78,0,2180,390,2570
19,xstanfordx,0,2273,120,0,2446,120,0,173,0,0,865,0,865
62,Huuloc,0,490,9,0,643,10,0,153,1,0,765,5,770
82,NuNo,0,262,1,0,405,1,0,143,0,0,715,0,715
51,milleeee,0,697,17,0,804,21,0,107,4,0,535,20,555
10,brokenjade,3,2645,172,3,2744,180,0,99,8,0,495,40,535
11,SlackOfDoom,45,1735,173,45,1821,177,0,86,4,0,430,20,450
0,King Rale,177,2475,302,177,2558,307,0,83,5,0,415,25,440
41,Dimsa,0,249,28,0,310,32,0,61,4,0,305,20,325
74,tiddabeth,0,983,4,0,1032,4,0,49,0,0,245,0,245
63,R1m,0,1844,8,0,1892,8,0,48,0,0,240,0,240
68,Mikey AlThor,0,38,4,0,82,6,0,44,2,0,220,10,230
12,StankoSRBLFC,1852,1707,171,1852,1749,175,0,42,4,0,210,20,230
5,Theomore,0,1433,209,0,1474,214,0,41,5,0,205,25,230
80,UhtredR,2,1041,1,2,1084,1,0,43,0,0,215,0,215
53,viktorija,0,276,15,0,316,18,0,40,3,0,200,15,215
39,didialfeim,0,1194,36,0,1236,36,0,42,0,0,210,0,210
91,Alice Fart,0,58,0,0,99,0,0,41,0,0,205,0,205
24,17Palad1nOnm,3,1448,80,3,1486,82,0,38,2,0,190,10,200
81,Qkate,0,396,1,0,434,1,0,38,0,0,190,0,190
36,pembaa,0,680,39,0,714,43,0,34,4,0,170,20,190
48,vampirewolfG,1,1111,26,1,1149,26,0,38,0,0,190,0,190
86,Lord Frost,0,248,0,0,284,0,0,36,0,0,180,0,180
35,Wntrking,0,352,43,0,383,48,0,31,5,0,155,25,180
73,MariaZoe,1,1371,4,1,1405,4,0,34,0,0,170,0,170
17,Dasharath,4896,1273,127,4896,1303,131,0,30,4,0,150,20,170
21,MaceWindujr,1277,2000,102,1277,2029,104,0,29,2,0,145,10,155
3,EDOX,1631,1995,249,1631,2021,254,0,26,5,0,130,25,155
76,Eragon67,1,920,2,1,951,2,0,31,0,0,155,0,155
47,Boss X,51,916,27,51,945,27,0,29,0,0,145,0,145
55,Adijjiiiiiii,0,130,10,0,155,14,0,25,4,0,125,20,145
67,MORTI,196,1998,6,196,2027,6,0,29,0,0,145,0,145
32,SireMuch,4,307,56,4,331,60,0,24,4,0,120,20,140
93,freeze3,0,25,0,0,53,0,0,28,0,0,140,0,140
28,trevers,0,377,65,0,399,71,0,22,6,0,110,30,140
50,EnchantressM,0,1564,19,0,1589,21,0,25,2,0,125,10,135
69,arcane,0,1177,5,0,1203,5,0,26,0,0,130,0,130
2,Guts Black,2852,1861,257,2852,1882,262,0,21,5,0,105,25,130
49,Beha,0,330,23,0,356,23,0,26,0,0,130,0,130
9,mirjan,11,853,180,11,874,185,0,21,5,0,105,25,130
16,SEARCHER,1525,1707,125,1525,1722,136,0,15,11,0,75,55,130
42,Brooster,0,800,29,0,823,31,0,23,2,0,115,10,125
65,Thos,2,930,8,2,955,8,0,25,0,0,125,0,125
40,KecIsHere,0,138,32,0,159,36,0,21,4,0,105,20,125
6,JohnHawkwood,2018,2058,197,2018,2079,201,0,21,4,0,105,20,125
54,BOrke,0,169,10,0,190,14,0,21,4,0,105,20,125
