,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
72,SFuRak,0,0,0,5835,1362,4,5835,1362,4,5835,6810,20,12665
0,King Rale,0,0,0,176,2116,237,176,2116,237,176,10580,1185,11941
10,JohnHawkwood,0,0,0,2018,1787,156,2018,1787,156,2018,8935,780,11733
4,Guts Black,0,0,0,2852,1468,181,2852,1468,181,2852,7340,905,11097
3,EDOX,0,0,0,1631,1655,200,1631,1655,200,1631,8275,1000,10906
30,SashaM,0,0,0,799,1835,66,799,1835,66,799,9175,330,10304
26,Dasharath,0,0,0,4896,979,81,4896,979,81,4896,4895,405,10196
25,MaceWindujr,0,0,0,1277,1618,81,1277,1618,81,1277,8090,405,9772
19,Kingsy D,0,0,0,3467,1126,107,3467,1126,107,3467,5630,535,9632
90,Foxxy,0,0,0,3265,1223,0,3265,1223,0,3265,6115,0,9380
67,komyc,0,0,0,2743,1310,5,2743,1310,5,2743,6550,25,9318
34,SEARCHER,0,0,0,1525,1482,43,1525,1482,43,1525,7410,215,9150
21,brokenjade,0,0,0,2,1572,106,2,1572,106,2,7860,530,8392
73,30PAH,0,0,0,3372,988,4,3372,988,4,3372,4940,20,8332
20,Duke Martin,0,0,0,2095,1126,107,2095,1126,107,2095,5630,535,8260
71,MORTI,0,0,0,196,1606,4,196,1606,4,196,8030,20,8246
13,StankoSRBLFC,0,0,0,1851,1072,139,1851,1072,139,1851,5360,695,7906
58,Karlosas,0,0,0,0,1569,7,0,1569,7,0,7845,35,7880
2,MorganKell,0,0,0,0,1335,211,0,1335,211,0,6675,1055,7730
55,malimiki,0,0,0,3449,843,10,3449,843,10,3449,4215,50,7714
1,Lord Gitter,0,0,0,1251,1027,231,1251,1027,231,1251,5135,1155,7541
59,docente,0,0,0,1190,1114,7,1190,1114,7,1190,5570,35,6795
40,GEERT,0,0,0,868,1150,33,868,1150,33,868,5750,165,6783
63,R1m,0,0,0,0,1315,6,0,1315,6,0,6575,30,6605
28,xstanfordx,0,0,0,0,1228,73,0,1228,73,0,6140,365,6505
52,buddha6366,0,0,0,845,1101,12,845,1101,12,845,5505,60,6410
5,HussyofWhips,0,0,0,0,1069,177,0,1069,177,0,5345,885,6230
51,EnchantressM,0,0,0,0,1209,13,0,1209,13,0,6045,65,6110
32,12M,0,0,0,1421,866,57,1421,866,57,1421,4330,285,6036
17,SlackOfDoom,0,0,0,40,957,116,40,957,116,40,4785,580,5405
11,Theomore,0,0,0,0,925,152,0,925,152,0,4625,760,5385
33,17Palad1nOnm,0,0,0,2,990,55,2,990,55,2,4950,275,5227
6,pikabooooo,0,0,0,954,659,170,954,659,170,954,3295,850,5099
76,MariaZoe,0,0,0,1,1016,2,1,1016,2,1,5080,10,5091
22,koddi,0,0,0,6,865,99,6,865,99,6,4325,495,4826
18,Jaredsc,0,0,0,0,842,114,0,842,114,0,4210,570,4780
23,Klaus Schnee,0,0,0,0,852,95,0,852,95,0,4260,475,4735
9,dingleberry,0,0,0,0,783,157,0,783,157,0,3915,785,4700
14,DarkLord Dan,0,0,0,0,811,128,0,811,128,0,4055,640,4695
12,BuharaShroom,0,0,0,12,792,142,12,792,142,12,3960,710,4682
81,DKH,0,0,0,1,931,1,1,931,1,1,4655,5,4661
27,xLestat,0,0,0,0,838,81,0,838,81,0,4190,405,4595
29,Gunnarr716,0,0,0,0,832,69,0,832,69,0,4160,345,4505
24,Schurke66,0,0,0,0,819,82,0,819,82,0,4095,410,4505
8,LalaTheWhite,0,0,0,0,730,160,0,730,160,0,3650,800,4450
42,Lord Anibal,0,0,0,18,853,30,18,853,30,18,4265,150,4433
68,ZENZEY,0,0,0,0,866,5,0,866,5,0,4330,25,4355
46,vampirewolfG,0,0,0,1,834,21,1,834,21,1,4170,105,4276
7,ArT,0,0,0,0,685,168,0,685,168,0,3425,840,4265
82,arcane,0,0,0,0,843,1,0,843,1,0,4215,5,4220
65,Csapek,0,0,0,0,799,6,0,799,6,0,3995,30,4025
64,Sir Mogque,0,0,0,0,799,6,0,799,6,0,3995,30,4025
41,Blackrainbow,0,0,0,4,762,31,4,762,31,4,3810,155,3969
