,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
69,SFuRak,0,0,0,5836,1534,4,5836,1534,4,5836,7670,20,13526
0,King Rale,0,0,0,176,2312,273,176,2312,273,176,11560,1365,13101
9,JohnHawkwood,0,0,0,2018,1934,181,2018,1934,181,2018,9670,905,12593
4,Guts Black,0,0,0,2852,1696,223,2852,1696,223,2852,8480,1115,12447
3,EDOX,0,0,0,1631,1833,229,1631,1833,229,1631,9165,1145,11941
16,brokenjade,0,0,0,2,2152,141,2,2152,141,2,10760,705,11467
28,SashaM,0,0,0,799,1994,73,799,1994,73,799,9970,365,11134
22,Dasharath,0,0,0,4896,1110,103,4896,1110,103,4896,5550,515,10961
25,MaceWindujr,0,0,0,1277,1798,94,1277,1798,94,1277,8990,470,10737
17,Kingsy D,0,0,0,3473,1262,127,3473,1262,127,3473,6310,635,10418
88,Foxxy,0,0,0,3265,1396,0,3265,1396,0,3265,6980,0,10245
58,komyc,0,0,0,2743,1488,11,2743,1488,11,2743,7440,55,10238
1,MorganKell,0,0,0,0,1723,271,0,1723,271,0,8615,1355,9970
27,SEARCHER,0,0,0,1525,1608,80,1525,1608,80,1525,8040,400,9965
61,Karlosas,0,0,0,0,1917,7,0,1917,7,0,9585,35,9620
12,StankoSRBLFC,0,0,0,1851,1394,157,1851,1394,157,1851,6970,785,9606
66,MORTI,0,0,0,196,1823,5,196,1823,5,196,9115,25,9336
20,Duke Martin,0,0,0,2095,1264,119,2095,1264,119,2095,6320,595,9010
21,xstanfordx,0,0,0,0,1653,105,0,1653,105,0,8265,525,8790
59,malimiki,0,0,0,3449,991,11,3449,991,11,3449,4955,55,8459
2,Lord Gitter,0,0,0,1251,1152,254,1251,1152,254,1251,5760,1270,8281
62,R1m,0,0,0,0,1586,7,0,1586,7,0,7930,35,7965
14,SlackOfDoom,0,0,0,45,1357,146,45,1357,146,45,6785,730,7560
41,GEERT,0,0,0,868,1289,36,868,1289,36,868,6445,180,7493
60,docente,0,0,0,1192,1235,8,1192,1235,8,1192,6175,40,7407
57,buddha6366,0,0,0,845,1237,12,845,1237,12,845,6185,60,7090
55,EnchantressM,0,0,0,0,1394,18,0,1394,18,0,6970,90,7060
8,Theomore,0,0,0,0,1192,183,0,1192,183,0,5960,915,6875
29,12M,0,0,0,1422,1007,71,1422,1007,71,1422,5035,355,6812
30,17Palad1nOnm,0,0,0,2,1238,69,2,1238,69,2,6190,345,6537
70,MariaZoe,0,0,0,1,1198,4,1,1198,4,1,5990,20,6011
6,pikabooooo,0,0,0,954,790,196,954,790,196,954,3950,980,5884
15,Jaredsc,0,0,0,0,1029,144,0,1029,144,0,5145,720,5865
19,Klaus Schnee,0,0,0,0,1041,121,0,1041,121,0,5205,605,5810
18,koddi,0,0,0,6,1021,125,6,1021,125,6,5105,625,5736
24,xLestat,0,0,0,0,1042,100,0,1042,100,0,5210,500,5710
7,dingleberry,0,0,0,0,942,188,0,942,188,0,4710,940,5650
83,DKH,0,0,0,1,1115,1,1,1115,1,1,5575,5,5581
10,BuharaShroom,0,0,0,12,928,167,12,928,167,12,4640,835,5487
23,Gunnarr716,0,0,0,0,956,101,0,956,101,0,4780,505,5285
67,ZENZEY,0,0,0,0,1024,5,0,1024,5,0,5120,25,5145
45,Lord Anibal,0,0,0,21,990,30,21,990,30,21,4950,150,5121
73,arcane,0,0,0,0,1020,3,0,1020,3,0,5100,15,5115
50,vampirewolfG,0,0,0,1,991,24,1,991,24,1,4955,120,5076
5,ArT,0,0,0,0,813,202,0,813,202,0,4065,1010,5075
46,didialfeim,0,0,0,0,939,28,0,939,28,0,4695,140,4835
64,Sir Mogque,0,0,0,0,948,6,0,948,6,0,4740,30,4770
65,Csapek,0,0,0,0,948,6,0,948,6,0,4740,30,4770
31,Blackrainbow,0,0,0,5,878,65,5,878,65,5,4390,325,4720
11,mirjan,0,0,0,11,736,159,11,736,159,11,3680,795,4486
84,UhtredR,0,0,0,2,890,1,2,890,1,2,4450,5,4457
85,DownBerry,0,0,0,2,885,1,2,885,1,2,4425,5,4432
38,TripleP,0,0,0,2,795,41,2,795,41,2,3975,205,4182
51,Boss X,0,0,0,51,767,23,51,767,23,51,3835,115,4001
63,Thos,0,0,0,2,787,7,2,787,7,2,3935,35,3972
13,Wareblade,0,0,0,0,611,152,0,611,152,0,3055,760,3815
71,tiddabeth,0,0,0,0,754,4,0,754,4,0,3770,20,3790
77,Eragon67,0,0,0,1,751,2,1,751,2,1,3755,10,3766
32,RMonn,0,0,0,0,617,56,0,617,56,0,3085,280,3365
33,Draakir,0,0,0,0,609,56,0,609,56,0,3045,280,3325
52,Brooster,0,0,0,0,641,23,0,641,23,0,3205,115,3320
26,Maverick,0,0,0,0,548,88,0,548,88,0,2740,440,3180
36,FreyaMaiden,0,0,0,0,585,47,0,585,47,0,2925,235,3160
68,Kaelthas27,0,0,0,3,619,5,3,619,5,3,3095,25,3123
42,Freyyr,0,0,0,0,533,35,0,533,35,0,2665,175,2840
48,pembaa,0,0,0,0,527,25,0,527,25,0,2635,125,2760
78,GooSE,0,0,0,0,544,2,0,544,2,0,2720,10,2730
34,Odr,0,0,0,2,458,56,2,458,56,2,2290,280,2572
79,Mindaugyno,0,0,0,2,469,2,2,469,2,2,2345,10,2357
53,Daessa,0,0,0,0,390,22,0,390,22,0,1950,110,2060
56,Skipka,0,0,0,0,300,13,0,300,13,0,1500,65,1565
80,sakis111,0,0,0,0,310,2,0,310,2,0,1550,10,1560
35,S4TN4AM1R,0,0,0,0,257,48,0,257,48,0,1285,240,1525
37,trevers,0,0,0,0,243,42,0,243,42,0,1215,210,1425
89,SERHAT STARK,0,0,0,0,274,0,0,274,0,0,1370,0,1370
49,LalaTheWhite,0,0,0,0,210,25,0,210,25,0,1050,125,1175
54,Beha,0,0,0,0,214,21,0,214,21,0,1070,105,1175
39,Fyre,0,0,0,0,192,38,0,192,38,0,960,190,1150
86,Qkate,0,0,0,0,227,1,0,227,1,0,1135,5,1140
47,Wntrking,0,0,0,0,194,26,0,194,26,0,970,130,1100
43,SireMuch,0,0,0,4,173,34,4,173,34,4,865,170,1039
40,HussyofWhips,0,0,0,0,156,38,0,156,38,0,780,190,970
44,Traksimus,0,0,0,0,161,32,0,161,32,0,805,160,965
81,Huuloc,0,0,0,0,97,2,0,97,2,0,485,10,495
74,milleeee,0,0,0,0,41,3,0,41,3,0,205,15,220
87,viktorija,0,0,0,0,31,1,0,31,1,0,155,5,160
75,Dimsa,0,0,0,0,26,3,0,26,3,0,130,15,145
