Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
Queen Snoww,2005,84,2257.0,0,0,0,2257.0
Sealiah X,94,338,1108.0,94,268,898.0,210.0
HussyofWhips,1019,1668,6023.0,1019,1624,5891.0,132.0
HasturX,979,781,3322.0,979,741,3202.0,120.0
xLestat,1,200,601.0,1,167,502.0,99.0
WiTchKing,564,0,564.0,467,0,467.0,97.0
Professor X,560,0,560.0,463,0,463.0,97.0
Han,172,63,361.0,146,41,269.0,92.0
How2Play,11,183,560.0,11,153,470.0,90.0
Lala TheGrey,0,237,711.0,0,207,621.0,90.0
ELENA,291,379,1428.0,291,349,1338.0,90.0
DeeAnna,72,269,879.0,66,242,792.0,87.0
DarkLord Dan,2474,270,3284.0,2474,241,3197.0,87.0
Mikey AlThor,507,1739,5724.0,507,1711,5640.0,84.0
DaisY,0,107,321.0,0,79,237.0,84.0
brokenjade,807,1493,5286.0,807,1466,5205.0,81.0
OnePieceOfAl,1080,143,1509.0,1014,138,1428.0,81.0
Dark Asha,688,1098,3982.0,688,1073,3907.0,75.0
Vhaera Black,314,183,863.0,306,161,789.0,74.0
Lady aurora,1,264,793.0,1,240,721.0,72.0
cerveau lent,2832,533,4431.0,2832,509,4359.0,72.0
Lord Rufus,341,227,1022.0,341,203,950.0,72.0
knyaz Elemag,534,283,1383.0,534,259,1311.0,72.0
dingleberry,8,882,2654.0,8,858,2582.0,72.0
WRONG TURN,2410,20,2470.0,2339,20,2399.0,71.0
Cromwell 1,2633,54,2795.0,2564,54,2726.0,69.0
Rubein,105,900,2805.0,105,877,2736.0,69.0
voLo,31,280,871.0,28,258,802.0,69.0
SpanishFly,2000,260,2780.0,2000,237,2711.0,69.0
CerberusS,2956,106,3274.0,2887,106,3205.0,69.0
NEBULA,2767,391,3940.0,2767,368,3871.0,69.0
ODYSSEAS,2391,262,3177.0,2350,253,3109.0,68.0
Ragnaroku,974,35,1079.0,916,32,1012.0,67.0
17Palad1nOnm,2,107,323.0,2,85,257.0,66.0
QuickSiLver,598,0,598.0,532,0,532.0,66.0
fearless,625,185,1180.0,625,163,1114.0,66.0
ThomasShelbY,316,196,904.0,316,174,838.0,66.0
arcane,3552,119,3909.0,3543,100,3843.0,66.0
Tom CatZ,17,244,749.0,17,222,683.0,66.0
ArT,468,1057,3639.0,468,1035,3573.0,66.0
DIKEFALOS21,8,120,368.0,6,99,303.0,65.0
Cloud Strife,3488,0,3488.0,3423,0,3423.0,65.0
CastleFarmer,3068,10,3098.0,3004,10,3034.0,64.0
draconis,2417,126,2795.0,2359,124,2731.0,64.0
freeze3,2469,1,2472.0,2405,1,2408.0,64.0
Hoba,332,0,332.0,268,0,268.0,64.0
Baji Keisuke,98,321,1061.0,98,300,998.0,63.0
MacGG,5,287,866.0,5,266,803.0,63.0
valkyria,844,263,1633.0,844,242,1570.0,63.0
Cormund,2139,403,3348.0,2139,382,3285.0,63.0
king kira,179,5,194.0,116,5,131.0,63.0
L3V ETEE,0,225,675.0,0,204,612.0,63.0
HELLCAT,1,279,838.0,1,258,775.0,63.0
Argeade 88,1441,29,1528.0,1378,29,1465.0,63.0
NHL,545,404,1757.0,545,383,1694.0,63.0
Zobhard,491,185,1046.0,485,166,983.0,63.0
imPIOus,1662,78,1896.0,1601,78,1835.0,61.0
ZaKi,524,1,527.0,464,1,467.0,60.0
Omnos,97,82,343.0,97,62,283.0,60.0
KAWO,900,267,1701.0,900,247,1641.0,60.0
BRUTALES,214,700,2314.0,214,680,2254.0,60.0
asparuhdo,1141,291,2014.0,1141,271,1954.0,60.0
parthXD,1651,106,1969.0,1606,101,1909.0,60.0
DETH,189,0,189.0,130,0,130.0,59.0
SlackOfDoom,1403,441,2726.0,1390,426,2668.0,58.0
Blackrainbow,883,784,3235.0,883,765,3178.0,57.0
DeathDealerV,28,275,853.0,27,257,798.0,55.0
GrimReaPer,1901,231,2594.0,1901,213,2540.0,54.0
ROMEOKTON,2026,236,2734.0,2026,218,2680.0,54.0
Fat Troll,5,117,356.0,5,99,302.0,54.0
DucdeNalfar,76,85,331.0,76,67,277.0,54.0
NotTodayMate,1670,303,2579.0,1636,297,2527.0,52.0
Hohonok,19,916,2767.0,19,899,2716.0,51.0
The Spikerer,652,1069,3859.0,652,1052,3808.0,51.0
Loekas20,2221,303,3130.0,2178,301,3081.0,49.0
Lady Tay,1,253,760.0,1,237,712.0,48.0
swordss,507,328,1491.0,507,312,1443.0,48.0
ANAXIMANDROS,1123,513,2662.0,1123,497,2614.0,48.0
PIuRRulP,777,192,1353.0,777,177,1308.0,45.0
Munchies,648,69,855.0,648,54,810.0,45.0
RaisingD,1464,148,1908.0,1464,134,1866.0,42.0
Avalonati,1791,197,2382.0,1790,184,2342.0,40.0
Kaison Baby,668,619,2525.0,668,607,2489.0,36.0
Fenryrr,2938,318,3892.0,2938,306,3856.0,36.0
Stiele,317,174,839.0,301,168,805.0,34.0
Kim sSeok,847,19,904.0,813,19,870.0,34.0
cpl Thanos,987,612,2823.0,987,605,2802.0,21.0
Ebony Maw,2955,1453,7314.0,2955,1446,7293.0,21.0
ShudaBubbled,0,12,36.0,0,8,24.0,12.0
vampirewolfG,1444,242,2170.0,1444,240,2164.0,6.0
BIGBAD PANDA,515,995,3500.0,515,995,3500.0,0.0
Adaere,0,0,0.0,0,0,0,0.0
HODOR,2604,14,2646.0,2604,14,2646.0,0.0
Harold,1664,1127,5045.0,1664,1127,5045.0,0.0
Bigbadguy,2950,1592,7726.0,2950,1592,7726.0,0.0
Lohki,181,468,1585.0,181,468,1585.0,0.0
Total,,,198151.00,,,190081.00,8070.00
