,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
61,sir Mogque,0,0,0,0,689,6,0,689,6,0,3445,30,3475
59,docente,1189,741,7,1190,870,7,1,129,0,1,645,0,646
24,brokenjade,2,1083,79,2,1182,84,0,99,5,0,495,25,520
77,tiddabeth,0,249,2,0,309,2,0,60,0,0,300,0,300
80,Alice Fart,0,507,1,0,562,1,0,55,0,0,275,0,275
48,vampirewolfG,1,632,19,1,681,21,0,49,2,0,245,10,255
8,JohnHawkwood,2018,1588,137,2018,1634,141,0,46,4,0,230,20,250
58,Karlosas,0,1283,7,0,1332,7,0,49,0,0,245,0,245
19,SlackOfDoom,39,787,91,39,829,95,0,42,4,0,210,20,230
67,SATNAM1R,0,0,0,0,40,5,0,40,5,0,200,25,225
3,MorganKell,0,1090,161,0,1127,168,0,37,7,0,185,35,220
91,Skipka,0,0,0,0,43,0,0,43,0,0,215,0,215
60,R1m,0,1069,6,0,1112,6,0,43,0,0,215,0,215
36,17Palad1nOnm,0,813,46,1,854,46,1,41,0,1,205,0,206
56,EnchantressM,0,1031,7,0,1067,9,0,36,2,0,180,10,190
85,Foxxy,3265,904,0,3265,942,0,0,38,0,0,190,0,190
65,ZENZEY,0,723,5,0,760,5,0,37,0,0,185,0,185
84,komyc,2743,1125,0,2743,1162,0,0,37,0,0,185,0,185
73,MariaZoe,1,852,2,1,889,2,0,37,0,0,185,0,185
27,Klaus Schnee,0,707,71,0,744,71,0,37,0,0,185,0,185
79,DownBubble,2,587,1,2,622,1,0,35,0,0,175,0,175
70,30PAH,3372,820,4,3372,854,4,0,34,0,0,170,0,170
40,Wntrking,0,1014,30,0,1048,30,0,34,0,0,170,0,170
29,xLestat,0,694,62,0,723,65,0,29,3,0,145,15,160
83,Kaelthas27,2,81,1,2,113,1,0,32,0,0,160,0,160
11,Theomore,0,759,126,0,785,131,0,26,5,0,130,25,155
22,ELENA,0,820,82,0,846,87,0,26,5,0,130,25,155
78,DKH,1,768,1,1,798,1,0,30,0,0,150,0,150
38,SEARCHER,1525,1336,35,1525,1364,37,0,28,2,0,140,10,150
0,King Rale,176,1992,203,176,2015,209,0,23,6,0,115,30,145
28,Dasharath,4896,845,67,4896,872,69,0,27,2,0,135,10,145
66,didialfeim,0,535,5,0,563,5,0,28,0,0,140,0,140
86,arcane,0,694,0,0,722,0,0,28,0,0,140,0,140
6,HussyofWhips,0,917,142,0,940,147,0,23,5,0,115,25,140
17,VASE,1,629,92,1,651,97,0,22,5,0,110,25,135
2,EDOX,1631,1499,174,1631,1521,179,0,22,5,0,110,25,135
10,dingleberry,0,655,130,0,678,134,0,23,4,0,115,20,135
45,Lord Anibal,17,716,23,17,741,25,0,25,2,0,125,10,135
21,Jaredsc,0,713,89,0,734,94,0,21,5,0,105,25,130
26,Schurke66,0,679,73,0,702,75,0,23,2,0,115,10,125
76,freeze3,0,400,2,0,424,2,0,24,0,0,120,0,120
55,malimiki,3449,708,10,3449,732,10,0,24,0,0,120,0,120
57,Brooster,0,327,9,0,351,9,0,24,0,0,120,0,120
89,Mindaugyno,1,163,0,1,187,0,0,24,0,0,120,0,120
31,KING MAXIMUS,0,845,60,0,866,63,0,21,3,0,105,15,120
71,Thos,2,515,4,2,539,4,0,24,0,0,120,0,120
35,Gunnarr716,0,713,46,0,735,48,0,22,2,0,110,10,120
75,Eragon67,1,424,2,1,448,2,0,24,0,0,120,0,120
32,SashaM,799,1695,56,799,1716,59,0,21,3,0,105,15,120
7,ArT,0,591,140,0,609,145,0,18,5,0,90,25,115
64,Daessa,0,139,4,0,160,6,0,21,2,0,105,10,115
16,Duke Martin,2095,1010,95,2095,1031,97,0,21,2,0,105,10,115
12,StankoSRBLFC,1851,940,123,1851,962,124,0,22,1,0,110,5,115
68,MORTI,196,1435,4,196,1458,4,0,23,0,0,115,0,115
30,xstanfordx,0,1090,64,0,1113,64,0,23,0,0,115,0,115
81,FaFnir,0,423,1,0,446,1,0,23,0,0,115,0,115
49,Freyyr,0,298,19,0,320,20,0,22,1,0,110,5,115
20,Kingsy D,3464,1030,90,3465,1048,94,1,18,4,1,90,20,111
82,GooSE,0,281,1,0,303,1,0,22,0,0,110,0,110
13,BuharaShroom,12,695,119,12,715,121,0,20,2,0,100,10,110
90,sakis111,0,30,0,0,52,0,0,22,0,0,110,0,110
25,knyaz Elemag,5,593,76,5,610,81,0,17,5,0,85,25,110
34,12M,1421,747,49,1421,767,50,0,20,1,0,100,5,105
37,Maverick,0,318,40,0,334,45,0,16,5,0,80,25,105
72,pembaa,0,229,3,0,250,3,0,21,0,0,105,0,105
23,koddi,6,742,84,6,762,85,0,20,1,0,100,5,105
69,SFuRak,5835,1245,4,5835,1266,4,0,21,0,0,105,0,105
52,Blackrainbow,4,648,16,4,668,17,0,20,1,0,100,5,105
88,RoGue Prince,0,290,0,0,311,0,0,21,0,0,105,0,105
9,LalaTheWhite,0,616,131,0,633,135,0,17,4,0,85,20,105
46,FreyaMaiden,0,348,22,0,367,24,0,19,2,0,95,10,105
63,Omnos,0,165,6,0,186,6,0,21,0,0,105,0,105
62,Csapek,0,668,6,0,689,6,0,21,0,0,105,0,105
1,Lord Gitter,1251,930,201,1251,945,207,0,15,6,0,75,30,105
87,UhtredR,2,599,0,2,620,0,0,21,0,0,105,0,105
50,DIKEFALOS21,0,575,18,0,596,18,0,21,0,0,105,0,105
53,AHEGON,0,176,15,0,196,16,0,20,1,0,100,5,105
47,TripleP,2,563,21,2,581,23,0,18,2,0,90,10,100
74,L Mariscal,4,654,2,4,674,2,0,20,0,0,100,0,100
14,DarkLord Dan,0,703,99,0,717,105,0,14,6,0,70,30,100
44,RMonn,0,362,25,0,381,26,0,19,1,0,95,5,100
43,IronPrice,0,358,27,0,377,28,0,19,1,0,95,5,100
42,Draakir,0,358,28,0,377,29,0,19,1,0,95,5,100
41,GEERT,868,1026,30,868,1046,30,0,20,0,0,100,0,100
5,Guts Black,2851,1339,146,2851,1356,149,0,17,3,0,85,15,100
51,Boss X,44,474,18,46,493,18,2,19,0,2,95,0,97
33,MaceWindujr,1276,1510,59,1277,1528,59,1,18,0,1,90,0,91
39,Odr,2,254,31,2,271,32,0,17,1,0,85,5,90
54,buddha6366,842,983,12,845,1000,12,3,17,0,3,85,0,88
4,pikabooooo,954,560,150,954,573,153,0,13,3,0,65,15,80
92,SERHAT STARK,0,0,0,0,15,0,0,15,0,0,75,0,75
15,mirjan,10,461,99,10,470,104,0,9,5,0,45,25,70
18,Wareblade,0,479,94,0,488,97,0,9,3,0,45,15,60
93,Beha,0,0,0,0,0,0,0,0,0,0,0,0,0
94,bj00,0,0,0,0,0,0,0,0,0,0,0,0,0
