,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
19,ksdall,0,0,0,8,1223,215,8,1223,215,8,6115,1075,7198
79,brokenjade,0,9,1,0,74,5,0,65,4,0,325,20,345
17,SCORILo,0,1038,212,0,1095,222,0,57,10,0,285,50,335
2,Dearon,0,1179,331,0,1239,335,0,60,4,0,300,20,320
72,Ulric,0,2037,11,0,2101,11,0,64,0,0,320,0,320
0,Miga,2553,2752,425,2553,2802,432,0,50,7,0,250,35,285
53,IRON BOY,0,371,32,0,424,36,0,53,4,0,265,20,285
48,Lekastrup,0,300,62,0,343,70,0,43,8,0,215,40,255
96,Domowoj,0,276,0,0,326,0,0,50,0,0,250,0,250
26,LAKMAL,12,1168,194,12,1215,197,0,47,3,0,235,15,250
1,Lady EoStark,134,1646,382,134,1686,390,0,40,8,0,200,40,240
11,Lady Patt,1,1049,256,1,1092,261,0,43,5,0,215,25,240
60,Pauin,1,1349,24,1,1394,24,0,45,0,0,225,0,225
73,1ZKA,0,291,11,0,334,11,0,43,0,0,215,0,215
35,Maras1226,1660,2028,137,1660,2070,137,0,42,0,0,210,0,210
69,Steph Yap,284,1998,15,284,2040,15,0,42,0,0,210,0,210
51,TawysStar,1,594,38,1,629,42,0,35,4,0,175,20,195
50,BlazeEmperor,0,304,38,0,338,43,0,34,5,0,170,25,195
92,Dream Holly,0,1349,0,0,1388,0,0,39,0,0,195,0,195
56,Decapiteur,0,1404,25,0,1437,30,0,33,5,0,165,25,190
80,Marvel GR,0,21,2,0,56,5,0,35,3,0,175,15,190
43,Zathur,0,809,82,0,844,85,0,35,3,0,175,15,190
58,Misiol69,0,228,30,0,265,30,0,37,0,0,185,0,185
32,PRICAST,22,1576,186,22,1611,188,0,35,2,0,175,10,185
41,Raimund,0,545,93,0,578,97,0,33,4,0,165,20,185
89,Flzz,0,2213,0,0,2249,0,0,36,0,0,180,0,180
52,MrHell,0,1881,31,0,1911,37,0,30,6,0,150,30,180
46,Antares699,0,312,69,0,343,74,0,31,5,0,155,25,180
95,00 Yama Oo,1,1064,0,1,1098,0,0,34,0,0,170,0,170
85,Nelne,0,222,2,0,256,2,0,34,0,0,170,0,170
34,Laura666,1610,1701,183,1610,1732,186,0,31,3,0,155,15,170
76,M1If Hunter,0,71,3,0,102,6,0,31,3,0,155,15,170
16,Venomektra,0,1097,220,0,1126,225,0,29,5,0,145,25,170
82,Queen Naerys,1,1314,3,1,1348,3,0,34,0,0,170,0,170
9,Arcmire,0,852,263,0,880,268,0,28,5,0,140,25,165
78,Juri BoykA,0,47,3,0,78,5,0,31,2,0,155,10,165
90,SandStormNyx,1,1963,0,1,1995,0,0,32,0,0,160,0,160
44,Alex666,1,555,77,1,582,82,0,27,5,0,135,25,160
57,SupremeVadie,0,557,26,0,584,30,0,27,4,0,135,20,155
67,MADTARAS,0,104,13,0,131,16,0,27,3,0,135,15,150
81,Villenmerth,4,1184,4,4,1214,4,0,30,0,0,150,0,150
22,sirjoker,0,1008,203,0,1036,205,0,28,2,0,140,10,150
24,Aaron2000,0,1136,197,0,1160,202,0,24,5,0,120,25,145
66,Aadarsh,0,78,12,0,102,17,0,24,5,0,120,25,145
91,AhsokaaTano,2,1535,0,2,1564,0,0,29,0,0,145,0,145
33,SHAKHAL,0,1132,183,0,1156,188,0,24,5,0,120,25,145
4,Tidaof2,340,1447,323,340,1469,329,0,22,6,0,110,30,140
