,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
65,SFuRak,0,0,0,5835,1331,4,5835,1331,4,5835,6655,20,12510
0,King Rale,0,0,0,176,2077,226,176,2077,226,176,10385,1130,11691
9,JohnHawkwood,0,0,0,2018,1737,150,2018,1737,150,2018,8685,750,11453
4,Guts Black,0,0,0,2852,1406,169,2852,1406,169,2852,7030,845,10727
3,EDOX,0,0,0,1631,1605,191,1631,1605,191,1631,8025,955,10611
29,SashaM,0,0,0,799,1790,63,799,1790,63,799,8950,315,10064
26,Dasharath,0,0,0,4896,941,74,4896,941,74,4896,4705,370,9971
27,MaceWindujr,0,0,0,1277,1582,70,1277,1582,70,1277,7910,350,9537
20,Kingsy D,0,0,0,3465,1095,102,3465,1095,102,3465,5475,510,9450
87,Foxxy,0,0,0,3265,1160,0,3265,1160,0,3265,5800,0,9065
68,komyc,0,0,0,2743,1253,2,2743,1253,2,2743,6265,10,9018
34,SEARCHER,0,0,0,1525,1433,37,1525,1433,37,1525,7165,185,8875
66,30PAH,0,0,0,3372,949,4,3372,949,4,3372,4745,20,8137
19,Duke Martin,0,0,0,2095,1086,103,2095,1086,103,2095,5430,515,8040
64,MORTI,0,0,0,196,1539,4,196,1539,4,196,7695,20,7911
21,brokenjade,0,0,0,2,1446,96,2,1446,96,2,7230,480,7712
13,StankoSRBLFC,0,0,0,1851,1031,131,1851,1031,131,1851,5155,655,7661
53,malimiki,0,0,0,3449,798,10,3449,798,10,3449,3990,50,7489
55,Karlosas,0,0,0,0,1471,7,0,1471,7,0,7355,35,7390
1,Lord Gitter,0,0,0,1251,991,224,1251,991,224,1251,4955,1120,7326
2,MorganKell,0,0,0,0,1251,192,0,1251,192,0,6255,960,7215
36,GEERT,0,0,0,868,1109,32,868,1109,32,868,5545,160,6573
56,docente,0,0,0,1190,1069,7,1190,1069,7,1190,5345,35,6570
28,xstanfordx,0,0,0,0,1174,67,0,1174,67,0,5870,335,6205
57,R1m,0,0,0,0,1233,6,0,1233,6,0,6165,30,6195
50,buddha6366,0,0,0,845,1053,12,845,1053,12,845,5265,60,6170
5,HussyofWhips,0,0,0,0,1020,166,0,1020,166,0,5100,830,5930
52,EnchantressM,0,0,0,0,1154,11,0,1154,11,0,5770,55,5825
32,12M,0,0,0,1421,825,53,1421,825,53,1421,4125,265,5811
17,SlackOfDoom,0,0,0,39,906,107,39,906,107,39,4530,535,5104
11,Theomore,0,0,0,0,866,143,0,866,143,0,4330,715,5045
33,17Palad1nOnm,0,0,0,2,943,50,2,943,50,2,4715,250,4967
6,pikabooooo,0,0,0,954,628,162,954,628,162,954,3140,810,4904
69,MariaZoe,0,0,0,1,969,2,1,969,2,1,4845,10,4856
22,koddi,0,0,0,6,817,93,6,817,93,6,4085,465,4556
18,Jaredsc,0,0,0,0,802,105,0,802,105,0,4010,525,4535
23,Klaus Schnee,0,0,0,0,815,84,0,815,84,0,4075,420,4495
12,BuharaShroom,0,0,0,12,759,134,12,759,134,12,3795,670,4477
14,DarkLord Dan,0,0,0,0,771,119,0,771,119,0,3855,595,4450
10,dingleberry,0,0,0,0,741,148,0,741,148,0,3705,740,4445
77,DKH,0,0,0,1,879,1,1,879,1,1,4395,5,4401
25,xLestat,0,0,0,0,786,76,0,786,76,0,3930,380,4310
30,Gunnarr716,0,0,0,0,792,62,0,792,62,0,3960,310,4270
24,Schurke66,0,0,0,0,774,79,0,774,79,0,3870,395,4265
8,LalaTheWhite,0,0,0,0,693,151,0,693,151,0,3465,755,4220
41,Lord Anibal,0,0,0,17,809,28,17,809,28,17,4045,140,4202
