Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
Bigbadguy,2942,1515,7487.0,0,0,0,7487.0
Madian II,2955,1378,7089.0,0,0,0,7089.0
HussyofWhips,1019,1428,5303.0,0,0,0,5303.0
Mikey AlThor,503,1558,5177.0,0,0,0,5177.0
brokenjade,799,1355,4864.0,0,0,0,4864.0
Harold,1664,1061,4847.0,0,0,0,4847.0
cerveau lent,2832,422,4098.0,0,0,0,4098.0
Fenryrr,2938,220,3598.0,0,0,0,3598.0
Dark Asha,688,966,3586.0,0,0,0,3586.0
NEBULA,2741,280,3581.0,0,0,0,3581.0
arcane,3435,45,3570.0,0,0,0,3570.0
The Spikerer,652,972,3568.0,0,0,0,3568.0
ArT,468,944,3300.0,0,0,0,3300.0
BIGBAD PANDA,502,917,3253.0,0,0,0,3253.0
Cloud Strife,3160,0,3160.0,0,0,0,3160.0
Cormund,2127,302,3033.0,0,0,0,3033.0
CerberusS,2668,106,2986.0,0,0,0,2986.0
Blackrainbow,874,688,2938.0,0,0,0,2938.0
DarkLord Dan,2404,172,2920.0,0,0,0,2920.0
HasturX,978,642,2904.0,0,0,0,2904.0
ODYSSEAS,2245,205,2860.0,0,0,0,2860.0
Loekas20,2051,266,2849.0,0,0,0,2849.0
CastleFarmer,2766,10,2796.0,0,0,0,2796.0
cpl Thanos,979,557,2650.0,0,0,0,2650.0
Hohonok,19,864,2611.0,0,0,0,2611.0
Cassana,2390,32,2486.0,0,0,0,2486.0
draconis,2182,96,2470.0,0,0,0,2470.0
Cromwell 1,2294,54,2456.0,0,0,0,2456.0
SpanishFly,2000,152,2456.0,0,0,0,2456.0
Rubein,105,778,2439.0,0,0,0,2439.0
ROMEOKTON,2026,136,2434.0,0,0,0,2434.0
ANAXIMANDROS,1119,437,2430.0,0,0,0,2430.0
HODOR,2383,14,2425.0,0,0,0,2425.0
SlackOfDoom,1351,339,2368.0,0,0,0,2368.0
Kaison Baby,668,554,2330.0,0,0,0,2330.0
dingleberry,8,768,2312.0,0,0,0,2312.0
GrimReaPer,1901,128,2285.0,0,0,0,2285.0
NotTodayMate,1527,248,2271.0,0,0,0,2271.0
Mr Wrinkles,1166,362,2252.0,0,0,0,2252.0
Avalonati,1730,140,2150.0,0,0,0,2150.0
freeze3,2145,1,2148.0,0,0,0,2148.0
WRONG TURN,2047,20,2107.0,0,0,0,2107.0
BRUTALES,212,602,2018.0,0,0,0,2018.0
vampirewolfG,1442,181,1985.0,0,0,0,1985.0
MACACS,1738,74,1960.0,0,0,0,1960.0
asparuhdo,1082,208,1706.0,0,0,0,1706.0
RaisingD,1464,77,1695.0,0,0,0,1695.0
parthXD,1403,79,1640.0,0,0,0,1640.0
imPIOus,1401,66,1599.0,0,0,0,1599.0
NHL,540,303,1449.0,0,0,0,1449.0
KAWO,896,173,1415.0,0,0,0,1415.0
Lohki,181,394,1363.0,0,0,0,1363.0
valkyria,844,163,1333.0,0,0,0,1333.0
swordss,495,258,1269.0,0,0,0,1269.0
Argeade 88,1144,23,1213.0,0,0,0,1213.0
OnePieceOfAl,844,107,1165.0,0,0,0,1165.0
PIuRRulP,725,112,1061.0,0,0,0,1061.0
knyaz Elemag,512,175,1037.0,0,0,0,1037.0
ELENA,287,247,1028.0,0,0,0,1028.0
fearless,611,86,869.0,0,0,0,869.0
Munchies,636,43,765.0,0,0,0,765.0
Baji Keisuke,92,219,749.0,0,0,0,749.0
Ragnaroku,664,25,739.0,0,0,0,739.0
Zobhard,444,98,738.0,0,0,0,738.0
Kim sSeok,652,19,709.0,0,0,0,709.0
Stiele,246,135,651.0,0,0,0,651.0
Lord Rufus,320,92,596.0,0,0,0,596.0
ThomasShelbY,315,91,588.0,0,0,0,588.0
DeathDealerV,21,182,567.0,0,0,0,567.0
MacGG,0,187,561.0,0,0,0,561.0
Bloodfighter,186,119,543.0,0,0,0,543.0
voLo,23,171,536.0,0,0,0,536.0
Vhaera Black,279,84,531.0,0,0,0,531.0
HELLCAT,1,176,529.0,0,0,0,529.0
Lady aurora,1,157,472.0,0,0,0,472.0
Lady Tay,1,146,439.0,0,0,0,439.0
Tom CatZ,17,133,416.0,0,0,0,416.0
DeeAnna,29,123,398.0,0,0,0,398.0
L3V ETEE,0,120,360.0,0,0,0,360.0
Lala TheGrey,0,105,315.0,0,0,0,315.0
ShudaBubbled,11,89,278.0,0,0,0,278.0
IThil,15,79,252.0,0,0,0,252.0
STITCHES,102,43,231.0,0,0,0,231.0
ozyshroom,92,42,218.0,0,0,0,218.0
xLestat,1,71,214.0,0,0,0,214.0
How2Play,11,65,206.0,0,0,0,206.0
QuickSiLver,196,0,196.0,0,0,0,196.0
WiTchKing,183,0,183.0,0,0,0,183.0
Professor X,176,0,176.0,0,0,0,176.0
ZaKi,159,0,159.0,0,0,0,159.0
Sealiah X,76,0,76.0,0,0,0,76.0
Omnos,31,11,64.0,0,0,0,64.0
DIKEFALOS21,0,15,45.0,0,0,0,45.0
Fat Troll,0,15,45.0,0,0,0,45.0
Hoba,36,0,36.0,0,0,0,36.0
Han,26,3,35.0,0,0,0,35.0
17Palad1nOnm,0,8,24.0,0,0,0,24.0
DucdeNalfar,5,2,11.0,0,0,0,11.0
baby macac5,0,0,0.0,0,0,0,0.0
RoosteR,0,0,0.0,0,0,0,0.0
Total,,,174303.00,,,0.00,174303.00
