,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
0,MorganKell,0,2067,305,0,2103,309,0,36,4,0,180,20,200
90,NuNo,0,100,0,0,129,1,0,29,1,0,145,5,150
15,brokenjade,2,2527,161,2,2552,162,0,25,1,0,125,5,130
64,milleeee,0,567,9,0,591,11,0,24,2,0,120,10,130
71,Kaelthas27,3,780,8,3,803,8,0,23,0,0,115,0,115
62,Karlosas,0,2102,11,0,2123,11,0,21,0,0,105,0,105
8,Theomore,0,1351,200,0,1370,201,0,19,1,0,95,5,100
58,Dimsa,0,183,18,0,197,20,0,14,2,0,70,10,80
68,R1m,0,1760,8,0,1775,8,0,15,0,0,75,0,75
65,viktorija,0,194,9,0,206,11,0,12,2,0,60,10,70
94,Lord Frost,0,168,0,0,181,0,0,13,0,0,65,0,65
24,xLestat,0,1175,110,0,1187,111,0,12,1,0,60,5,65
46,Wntrking,0,295,36,0,307,37,0,12,1,0,60,5,65
21,Dasharath,4896,1216,118,4896,1225,121,0,9,3,0,45,15,60
50,Brooster,0,748,28,0,760,28,0,12,0,0,60,0,60
72,BOrke,0,116,6,0,127,7,0,11,1,0,55,5,60
73,MORTI,196,1942,6,196,1954,6,0,12,0,0,60,0,60
54,Daessa,0,464,25,0,475,25,0,11,0,0,55,0,55
36,HussyofWhips,0,706,60,0,715,62,0,9,2,0,45,10,55
79,SFuRak,5836,1650,4,5836,1661,4,0,11,0,0,55,0,55
47,didialfeim,0,1138,32,0,1149,32,0,11,0,0,55,0,55
52,Boss X,51,863,25,51,873,26,0,10,1,0,50,5,55
20,Duke Martin,2095,1343,126,2095,1354,126,0,11,0,0,55,0,55
7,dingleberry,0,1029,206,0,1038,208,0,9,2,0,45,10,55
4,EDOX,1631,1947,242,1631,1956,244,0,9,2,0,45,10,55
14,StankoSRBLFC,1851,1657,166,1851,1668,166,0,11,0,0,55,0,55
87,DownBerry,2,995,1,2,1006,1,0,11,0,0,55,0,55
84,DKH,1,1244,2,1,1254,2,0,10,0,0,50,0,50
75,arcane,0,1126,5,0,1136,5,0,10,0,0,50,0,50
38,trevers,0,338,57,0,347,58,0,9,1,0,45,5,50
82,ANASTASIAs,0,81,4,0,91,4,0,10,0,0,50,0,50
48,pembaa,0,630,31,0,640,31,0,10,0,0,50,0,50
33,SATNAM1R,0,357,65,0,364,68,0,7,3,0,35,15,50
31,SashaM,799,2085,76,799,2095,76,0,10,0,0,50,0,50
85,Eragon67,1,869,2,1,879,2,0,10,0,0,50,0,50
53,komyc,2743,1579,24,2743,1588,25,0,9,1,0,45,5,50
25,SEARCHER,1525,1676,107,1525,1683,110,0,7,3,0,35,15,50
43,SireMuch,4,263,47,4,273,47,0,10,0,0,50,0,50
30,17Palad1nOnm,2,1379,78,3,1388,78,1,9,0,1,45,0,46
9,JohnHawkwood,2018,2019,192,2018,2027,193,0,8,1,0,40,5,45
56,KecIsHere,0,94,21,0,101,23,0,7,2,0,35,10,45
95,KEVA MILEVA,0,113,0,0,122,0,0,9,0,0,45,0,45
96,Lilith Lilit,2,109,0,2,118,0,0,9,0,0,45,0,45
93,SERHAT STARK,0,359,0,0,368,0,0,9,0,0,45,0,45
89,Qkate,0,321,1,0,330,1,0,9,0,0,45,0,45
10,BuharaShroom,12,1010,178,12,1017,180,0,7,2,0,35,10,45
12,Wareblade,0,678,172,0,685,174,0,7,2,0,35,10,45
88,UhtredR,2,984,1,2,993,1,0,9,0,0,45,0,45
78,Adijjiiiiiii,0,83,5,0,92,5,0,9,0,0,45,0,45
27,MaceWindujr,1277,1937,97,1277,1946,97,0,9,0,0,45,0,45
26,Maverick,0,629,105,0,636,107,0,7,2,0,35,10,45
92,Foxxy,3265,1510,0,3265,1518,0,0,8,0,0,40,0,40
81,tiddabeth,0,905,4,0,913,4,0,8,0,0,40,0,40
49,Lord Anibal,21,1067,30,21,1075,30,0,8,0,0,40,0,40
97,zui,0,102,0,0,110,0,0,8,0,0,40,0,40
1,King Rale,177,2429,290,177,2434,293,0,5,3,0,25,15,40
28,Blackrainbow,5,943,85,5,949,87,0,6,2,0,30,10,40
22,Gunnarr716,0,1030,118,0,1036,120,0,6,2,0,30,10,40
3,Guts Black,2852,1808,246,2852,1813,249,0,5,3,0,25,15,40
6,pikabooooo,954,864,210,954,870,212,0,6,2,0,30,10,40
17,koddi,6,1103,140,6,1109,142,0,6,2,0,30,10,40
16,Jaredsc,0,1139,160,0,1145,161,0,6,1,0,30,5,35
34,RMonn,0,703,64,0,708,66,0,5,2,0,25,10,35
74,Huuloc,0,449,6,0,456,6,0,7,0,0,35,0,35
35,Draakir,0,691,64,0,696,66,0,5,2,0,25,10,35
18,Klaus Schnee,0,1142,140,0,1148,141,0,6,1,0,30,5,35
70,Thos,2,875,8,2,882,8,0,7,0,0,35,0,35
67,Csapek,0,1029,10,0,1036,10,0,7,0,0,35,0,35
80,MariaZoe,1,1319,4,1,1326,4,0,7,0,0,35,0,35
66,Sir Mogque,0,1029,10,0,1036,10,0,7,0,0,35,0,35
41,LalaTheWhite,0,275,46,0,279,49,0,4,3,0,20,15,35
91,Liable1,0,30,1,0,37,1,0,7,0,0,35,0,35
5,ArT,0,906,221,0,910,224,0,4,3,0,20,15,35
59,EnchantressM,0,1508,18,0,1515,18,0,7,0,0,35,0,35
45,GEERT,868,1369,38,868,1376,38,0,7,0,0,35,0,35
57,Milos Iva,0,77,21,0,84,21,0,7,0,0,35,0,35
29,12M,1422,1086,79,1422,1093,79,0,7,0,0,35,0,35
86,sakis111,0,400,2,0,406,2,0,6,0,0,30,0,30
2,Lord Gitter,1251,1227,267,1251,1233,267,0,6,0,0,30,0,30
23,xstanfordx,0,2215,114,0,2221,114,0,6,0,0,30,0,30
51,vampirewolfG,1,1075,26,1,1081,26,0,6,0,0,30,0,30
40,Fyre,0,273,51,0,279,51,0,6,0,0,30,0,30
69,docente,1192,1334,8,1192,1340,8,0,6,0,0,30,0,30
60,Skipka,0,387,18,0,393,18,0,6,0,0,30,0,30
63,malimiki,3449,1077,11,3449,1083,11,0,6,0,0,30,0,30
76,ZENZEY,0,1122,5,0,1128,5,0,6,0,0,30,0,30
37,TripleP,2,860,59,2,864,60,0,4,1,0,20,5,25
39,FreyaMaiden,0,671,54,0,675,55,0,4,1,0,20,5,25
19,Kingsy D,3473,1339,139,3473,1344,139,0,5,0,0,25,0,25
