,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
63,SFuRak,0,0,0,5834,1107,4,5834,1107,4,5834,5535,20,11389
0,King Rale,0,0,0,176,1835,163,176,1835,163,176,9175,815,10166
5,JohnHawkwood,0,0,0,2018,1430,113,2018,1430,113,2018,7150,565,9733
4,Guts Black,0,0,0,2851,1250,126,2851,1250,126,2851,6250,630,9731
2,EDOX,0,0,0,1631,1319,148,1631,1319,148,1631,6595,740,8966
29,SashaM,0,0,0,799,1526,51,799,1526,51,799,7630,255,8684
25,Dasharath,0,0,0,4892,699,56,4892,699,56,4892,3495,280,8667
15,Kingsy D,0,0,0,3456,932,71,3456,932,71,3456,4660,355,8471
36,MaceWindujr,0,0,0,1276,1391,38,1276,1391,38,1276,6955,190,8421
38,SEARCHER,0,0,0,1525,1160,30,1525,1160,30,1525,5800,150,7475
78,komyc,0,0,0,2743,918,0,2743,918,0,2743,4590,0,7333
79,Foxxy,0,0,0,3265,755,0,3265,755,0,3265,3775,0,7040
14,Duke Martin,0,0,0,2095,874,75,2095,874,75,2095,4370,375,6840
62,MORTI,0,0,0,196,1257,4,196,1257,4,196,6285,20,6501
64,30PAH,0,0,0,3372,619,4,3372,619,4,3372,3095,20,6487
55,malimiki,0,0,0,3449,562,9,3449,562,9,3449,2810,45,6304
1,Lord Gitter,0,0,0,1251,853,152,1251,853,152,1251,4265,760,6276
9,StankoSRBLFC,0,0,0,1851,762,102,1851,762,102,1851,3810,510,6171
41,GEERT,0,0,0,868,890,25,868,890,25,868,4450,125,5443
53,buddha6366,0,0,0,842,867,11,842,867,11,842,4335,55,5232
6,MorganKell,0,0,0,0,872,113,0,872,113,0,4360,565,4925
59,Karlosas,0,0,0,0,978,5,0,978,5,0,4890,25,4915
35,12M,0,0,0,1421,621,39,1421,621,39,1421,3105,195,4721
8,HussyofWhips,0,0,0,0,767,108,0,767,108,0,3835,540,4375
58,docente,0,0,0,1189,613,7,1189,613,7,1189,3065,35,4289
66,EnchantressM,0,0,0,0,842,2,0,842,2,0,4210,10,4220
26,xstanfordx,0,0,0,0,759,55,0,759,55,0,3795,275,4070
43,Wntrking,0,0,0,0,789,23,0,789,23,0,3945,115,4060
60,R1m,0,0,0,0,797,5,0,797,5,0,3985,25,4010
3,pikabooooo,0,0,0,954,469,127,954,469,127,954,2345,635,3934
23,ELENA,0,0,0,0,670,58,0,670,58,0,3350,290,3640
33,KING MAXIMUS,0,0,0,0,663,45,0,663,45,0,3315,225,3540
12,Theomore,0,0,0,0,599,97,0,599,97,0,2995,485,3480
37,17pPalad1nOnm,0,0,0,0,659,35,0,659,35,0,3295,175,3470
13,BuharaShroom,0,0,0,12,584,93,12,584,93,12,2920,465,3397
72,MariaZoe,0,0,0,0,669,1,0,669,1,0,3345,5,3350
20,SlackOfDoom,0,0,0,38,586,68,38,586,68,38,2930,340,3308
21,koddi,0,0,0,6,591,64,6,591,64,6,2955,320,3281
17,DarkLord Dan,0,0,0,0,575,70,0,575,70,0,2875,350,3225
10,dingleberry,0,0,0,0,511,101,0,511,101,0,2555,505,3060
32,brokenjade,0,0,0,0,558,49,0,558,49,0,2790,245,3035
40,Gunnarr716,0,0,0,0,575,27,0,575,27,0,2875,135,3010
22,jaredsc,0,0,0,0,533,64,0,533,64,0,2665,320,2985
11,LalaTheWhite,0,0,0,0,492,101,0,492,101,0,2460,505,2965
34,xLestat,0,0,0,0,546,45,0,546,45,0,2730,225,2955
30,Klaus Schnee,0,0,0,0,539,50,0,539,50,0,2695,250,2945
80,DKH,0,0,0,0,587,0,0,587,0,0,2935,0,2935
7,ArT,0,0,0,0,469,109,0,469,109,0,2345,545,2890
47,Lord Anibal,0,0,0,11,555,14,11,555,14,11,2775,70,2856
18,VASE,0,0,0,1,501,69,1,501,69,1,2505,345,2851
61,ZENZEY,0,0,0,0,559,5,0,559,5,0,2795,25,2820
27,Schurke66,0,0,0,0,509,53,0,509,53,0,2545,265,2810
81,arcane,0,0,0,0,550,0,0,550,0,0,2750,0,2750
39,DaisY,0,0,0,0,520,30,0,520,30,0,2600,150,2750
24,knyaz Elemag,0,0,0,5,475,57,5,475,57,5,2375,285,2665
82,sir moque,0,0,0,0,529,0,0,529,0,0,2645,0,2645
83,Csapek,0,0,0,0,529,0,0,529,0,0,2645,0,2645
54,Blackrainbow,0,0,0,1,514,11,1,514,11,1,2570,55,2626
67,L Mariscal,0,0,0,4,516,2,4,516,2,4,2580,10,2594
45,vampirewolfG,0,0,0,1,499,17,1,499,17,1,2495,85,2581
31,Mikey AlThor,0,0,0,2,465,50,2,465,50,2,2325,250,2577
19,Wareblade,0,0,0,0,439,69,0,439,69,0,2195,345,2540
46,TripleP,0,0,0,2,452,16,2,452,16,2,2260,80,2342
49,DIKEFALOS21,0,0,0,0,455,12,0,455,12,0,2275,60,2335
84,UhtredR,0,0,0,2,451,0,2,451,0,2,2255,0,2257
73,DownBubble,0,0,0,2,431,1,2,431,1,2,2155,5,2162
16,mirjan,0,0,0,0,339,71,0,339,71,0,1695,355,2050
68,Thos,0,0,0,2,365,2,2,365,2,2,1825,10,1837
50,Boss X,0,0,0,33,340,12,33,340,12,33,1700,60,1793
28,Dark Heartt,0,0,0,0,261,53,0,261,53,0,1305,265,1570
69,JuicyFuit,0,0,0,1,309,2,1,309,2,1,1545,10,1556
74,Eragon67,0,0,0,1,272,1,1,272,1,1,1360,5,1366
75,FaFnir,0,0,0,0,267,1,0,267,1,0,1335,5,1340
70,freeze3,0,0,0,0,255,2,0,255,2,0,1275,10,1285
76,Alice Fart,0,0,0,0,252,1,0,252,1,0,1260,5,1265
56,FreyaMaiden,0,0,0,0,244,9,0,244,9,0,1220,45,1265
48,Draakir,0,0,0,0,237,14,0,237,14,0,1185,70,1255
51,RMonn,0,0,0,0,238,12,0,238,12,0,1190,60,1250
52,IronPrice,0,0,0,0,238,12,0,238,12,0,1190,60,1250
42,Maverick,0,0,0,0,201,24,0,201,24,0,1005,120,1125
57,Freyyr,0,0,0,0,191,9,0,191,9,0,955,45,1000
85,didialfeim,0,0,0,0,193,0,0,193,0,0,965,0,965
44,Odr,0,0,0,0,167,18,0,167,18,0,835,90,925
65,Brooster,0,0,0,0,161,4,0,161,4,0,805,20,825
86,GooSE,0,0,0,0,155,0,0,155,0,0,775,0,775
87,RoGue Prince,0,0,0,0,147,0,0,147,0,0,735,0,735
77,pembaa,0,0,0,0,84,1,0,84,1,0,420,5,425
71,Omnos,0,0,0,0,67,2,0,67,2,0,335,10,345
88,Knakker,0,0,0,0,65,0,0,65,0,0,325,0,325
89,AHEGON,0,0,0,0,56,0,0,56,0,0,280,0,280
90,tiddabeth,0,0,0,0,40,0,0,40,0,0,200,0,200
91,Mindaugyno,0,0,0,0,21,0,0,21,0,0,105,0,105
