,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
65,SFuRak,0,0,0,5835,1318,4,5835,1318,4,5835,6590,20,12445
0,Santa Rale,0,0,0,176,2064,223,176,2064,223,176,10320,1115,11611
8,JohnHawkwood,0,0,0,2018,1722,150,2018,1722,150,2018,8610,750,11378
4,Guts Black,0,0,0,2852,1395,166,2852,1395,166,2852,6975,830,10657
2,EDOX,0,0,0,1631,1589,189,1631,1589,189,1631,7945,945,10521
29,SashaM,0,0,0,799,1774,63,799,1774,63,799,8870,315,9984
26,Dasharath,0,0,0,4896,929,72,4896,929,72,4896,4645,360,9901
27,MaceWindujr,0,0,0,1277,1569,69,1277,1569,69,1277,7845,345,9467
20,Kingsy D,0,0,0,3465,1085,101,3465,1085,101,3465,5425,505,9395
84,Foxxy,0,0,0,3265,1153,0,3265,1153,0,3265,5765,0,9030
74,komyc,0,0,0,2743,1235,1,2743,1235,1,2743,6175,5,8923
35,SEARCHER,0,0,0,1525,1419,37,1525,1419,37,1525,7095,185,8805
66,30PAH,0,0,0,3372,927,4,3372,927,4,3372,4635,20,8027
19,Duke Martin,0,0,0,2095,1075,102,2095,1075,102,2095,5375,510,7980
64,MORTI,0,0,0,196,1524,4,196,1524,4,196,7620,20,7836
13,StankoSRBLFC,0,0,0,1851,1019,130,1851,1019,130,1851,5095,650,7596
22,brokenjade,0,0,0,2,1411,92,2,1411,92,2,7055,460,7517
54,malimiki,0,0,0,3449,786,10,3449,786,10,3449,3930,50,7429
1,Lord Gitter,0,0,0,1251,981,222,1251,981,222,1251,4905,1110,7266
56,Karlosas,0,0,0,0,1442,7,0,1442,7,0,7210,35,7245
3,MorganKell,0,0,0,0,1231,188,0,1231,188,0,6155,940,7095
57,docente,0,0,0,1190,1060,7,1190,1060,7,1190,5300,35,6525
37,GEERT,0,0,0,868,1097,32,868,1097,32,868,5485,160,6513
50,buddha6366,0,0,0,845,1045,12,845,1045,12,845,5225,60,6130
28,xstanfordx,0,0,0,0,1152,67,0,1152,67,0,5760,335,6095
58,R1m,0,0,0,0,1212,6,0,1212,6,0,6060,30,6090
34,Wntrking,0,0,0,0,1140,39,0,1140,39,0,5700,195,5895
5,HussyofWhips,0,0,0,0,1000,162,0,1000,162,0,5000,810,5810
31,12M,0,0,0,1421,814,52,1421,814,52,1421,4070,260,5751
52,EnchantressM,0,0,0,0,1138,11,0,1138,11,0,5690,55,5745
17,SlackOfDoom,0,0,0,39,890,105,39,890,105,39,4450,525,5014
11,Theomore,0,0,0,0,849,141,0,849,141,0,4245,705,4950
33,17Palad1nOnm,0,0,0,2,928,50,2,928,50,2,4640,250,4892
6,pikabooooo,0,0,0,954,618,161,954,618,161,954,3090,805,4849
69,MariaZoe,0,0,0,1,956,2,1,956,2,1,4780,10,4791
21,koddi,0,0,0,6,810,93,6,810,93,6,4050,465,4521
18,Jaredsc,0,0,0,0,790,103,0,790,103,0,3950,515,4465
12,BuharaShroom,0,0,0,12,753,132,12,753,132,12,3765,660,4437
23,Klaus Schnee,0,0,0,0,805,81,0,805,81,0,4025,405,4430
14,DarkLord Dan,0,0,0,0,763,115,0,763,115,0,3815,575,4390
10,dingleberry,0,0,0,0,732,145,0,732,145,0,3660,725,4385
75,DKH,0,0,0,1,866,1,1,866,1,1,4330,5,4336
25,xLestat,0,0,0,0,775,73,0,775,73,0,3875,365,4240
30,Gunnarr716,0,0,0,0,780,60,0,780,60,0,3900,300,4200
24,Schurke66,0,0,0,0,757,79,0,757,79,0,3785,395,4180
42,Lord Anibal,0,0,0,17,797,28,17,797,28,17,3985,140,4142
