Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
HussyofWhips,1019,2114,7361.0,0,0,0,7361.0
Mikey AlThor,507,2168,7011.0,0,0,0,7011.0
brokenjade,818,1805,6233.0,0,0,0,6233.0
Dark Asha,688,1449,5035.0,0,0,0,5035.0
NEBULA,2771,643,4700.0,0,0,0,4700.0
arcane,3647,332,4643.0,0,0,0,4643.0
ArT,468,1309,4395.0,0,0,0,4395.0
The Spikerer,653,1206,4271.0,0,0,0,4271.0
Cormund,2151,648,4095.0,0,0,0,4095.0
DarkLord Dan,2474,515,4019.0,0,0,0,4019.0
CerberusS,3580,128,3964.0,0,0,0,3964.0
HasturX,981,981,3924.0,0,0,0,3924.0
Blackrainbow,898,1000,3898.0,0,0,0,3898.0
ODYSSEAS,2689,395,3874.0,0,0,0,3874.0
WeirdO,3680,60,3860.0,0,0,0,3860.0
Rubein,105,1179,3642.0,0,0,0,3642.0
draconis,2911,199,3508.0,0,0,0,3508.0
Cromwell 1,3339,54,3501.0,0,0,0,3501.0
SlackOfDoom,1528,644,3460.0,0,0,0,3460.0
dingleberry,8,1129,3395.0,0,0,0,3395.0
SpanishFly,2000,446,3338.0,0,0,0,3338.0
WRONG TURN,3165,27,3246.0,0,0,0,3246.0
GrimReaPer,1901,432,3197.0,0,0,0,3197.0
freeze3,3016,58,3190.0,0,0,0,3190.0
cpl Thanos,988,730,3178.0,0,0,0,3178.0
BRUTALES,214,935,3019.0,0,0,0,3019.0
Avalonati,1839,336,2847.0,0,0,0,2847.0
Un name,1149,518,2703.0,0,0,0,2703.0
parthXD,2049,168,2553.0,0,0,0,2553.0
NHL,551,639,2468.0,0,0,0,2468.0
RaisingD,1464,334,2466.0,0,0,0,2466.0
KAWO,900,513,2439.0,0,0,0,2439.0
valkyria,844,497,2335.0,0,0,0,2335.0
ELENA,298,674,2320.0,0,0,0,2320.0
Argeade 88,2044,55,2209.0,0,0,0,2209.0
knyaz Elemag,550,510,2080.0,0,0,0,2080.0
swordss,508,507,2029.0,0,0,0,2029.0
fearless,642,425,1917.0,0,0,0,1917.0
xLestat,1,585,1756.0,0,0,0,1756.0
Baji Keisuke,115,535,1720.0,0,0,0,1720.0
Zobhard,587,345,1622.0,0,0,0,1622.0
ThomasShelbY,316,434,1618.0,0,0,0,1618.0
HELLCAT,1,515,1546.0,0,0,0,1546.0
Lala TheGrey,0,503,1509.0,0,0,0,1509.0
MacGG,7,478,1441.0,0,0,0,1441.0
Tom CatZ,17,460,1397.0,0,0,0,1397.0
QuickSiLver,1384,0,1384.0,0,0,0,1384.0
Lord Rufus,346,346,1384.0,0,0,0,1384.0
WiTchKing,1313,2,1319.0,0,0,0,1319.0
Lady aurora,1,437,1312.0,0,0,0,1312.0
Professor X,1296,0,1296.0,0,0,0,1296.0
Munchies,650,212,1286.0,0,0,0,1286.0
ZaKi,1241,4,1253.0,0,0,0,1253.0
Lady Tay,1,405,1216.0,0,0,0,1216.0
Kim sSeok,1139,19,1196.0,0,0,0,1196.0
17palad1nonm,14,359,1091.0,0,0,0,1091.0
Stiele,482,201,1085.0,0,0,0,1085.0
DIKEFALOS21,27,347,1068.0,0,0,0,1068.0
DaisY,2,352,1058.0,0,0,0,1058.0
Omnos,268,244,1000.0,0,0,0,1000.0
DETH,511,128,895.0,0,0,0,895.0
EnchantressM,14,277,845.0,0,0,0,845.0
king kira,629,64,821.0,0,0,0,821.0
MorganKell,0,249,747.0,0,0,0,747.0
Aaron2000,196,179,733.0,0,0,0,733.0
Schurke66,0,221,663.0,0,0,0,663.0
Borutatos,44,204,656.0,0,0,0,656.0
Theomore,11,208,635.0,0,0,0,635.0
MariaZoe,4,205,619.0,0,0,0,619.0
ShudaBubbled,0,168,504.0,0,0,0,504.0
Fantom elite,29,157,500.0,0,0,0,500.0
Karlosas,383,30,473.0,0,0,0,473.0
TripleP,41,129,428.0,0,0,0,428.0
Gunnarr716,119,97,410.0,0,0,0,410.0
Jaredsc,18,125,393.0,0,0,0,393.0
DKH,362,4,374.0,0,0,0,374.0
AHEGON,245,39,362.0,0,0,0,362.0
DownBubble,87,65,282.0,0,0,0,282.0
VASE,0,79,237.0,0,0,0,237.0
keilan,199,3,208.0,0,0,0,208.0
ANAXIMANDROS,0,62,186.0,0,0,0,186.0
Callouxs,62,30,152.0,0,0,0,152.0
MatriX,0,50,150.0,0,0,0,150.0
GOPI,75,22,141.0,0,0,0,141.0
Darkn3sS,0,47,141.0,0,0,0,141.0
MACACS CH,53,29,140.0,0,0,0,140.0
BabaVoSs,130,1,133.0,0,0,0,133.0
Shumail,55,20,115.0,0,0,0,115.0
IRON Red,27,29,114.0,0,0,0,114.0
Toniintro,53,18,107.0,0,0,0,107.0
Ghost Oz,70,7,91.0,0,0,0,91.0
volo,0,28,84.0,0,0,0,84.0
lordtiger,0,6,18.0,0,0,0,18.0
Vend3tta,17,0,17.0,0,0,0,17.0
LegacY,8,3,17.0,0,0,0,17.0
brokenjade20,3,0,3.0,0,0,0,3.0
Total,,,178274.00,,,0.00,178274.00
