,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
87,Foxxy,3265,942,0,3265,1109,0,0,167,0,0,835,0,835
59,docente,1190,870,7,1190,998,7,0,128,0,0,640,0,640
24,brokenjade,2,1182,84,2,1298,85,0,116,1,0,580,5,585
57,Pori Junior,0,0,0,0,57,8,0,57,8,0,285,40,325
41,Wntrking,0,1048,30,0,1099,30,0,51,0,0,255,0,255
8,JohnHawkwood,2018,1634,141,2018,1680,145,0,46,4,0,230,20,250
58,Karlosas,0,1332,7,0,1382,7,0,50,0,0,250,0,250
3,MorganKell,0,1127,168,0,1165,176,0,38,8,0,190,40,230
82,Alice Fart,0,562,1,0,607,1,0,45,0,0,225,0,225
76,tiddabeth,0,309,2,0,352,2,0,43,0,0,215,0,215
85,Kaelthas27,2,113,1,3,153,1,1,40,0,1,200,0,201
88,UhtredR,2,620,0,2,658,0,0,38,0,0,190,0,190
61,R1m,0,1112,6,0,1150,6,0,38,0,0,190,0,190
27,Klaus Schnee,0,744,71,0,779,73,0,35,2,0,175,10,185
2,EDOX,1631,1521,179,1631,1554,182,0,33,3,0,165,15,180
6,HussyofWhips,0,940,147,0,967,153,0,27,6,0,135,30,165
86,komyc,2743,1162,0,2743,1193,0,0,31,0,0,155,0,155
11,Theomore,0,785,131,0,812,135,0,27,4,0,135,20,155
37,17Palad1nOnm,1,854,46,1,885,46,0,31,0,0,155,0,155
18,SlackOfDoom,39,829,95,39,855,100,0,26,5,0,130,25,155
0,King Rale,176,2015,209,176,2042,212,0,27,3,0,135,15,150
72,MariaZoe,1,889,2,1,918,2,0,29,0,0,145,0,145
68,MORTI,196,1458,4,196,1486,4,0,28,0,0,140,0,140
30,KING MAXIMUS,0,866,63,0,890,67,0,24,4,0,120,20,140
74,Eragon67,1,448,2,1,476,2,0,28,0,0,140,0,140
55,EnchantressM,0,1067,9,0,1093,10,0,26,1,0,130,5,135
