Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
Bigbadguy,2935,1126,6313.0,0,0,0,6313.0
madian i,2888,1042,6014.0,0,0,0,6014.0
Harold,1438,808,3862.0,0,0,0,3862.0
brokenjade,750,886,3408.0,0,0,0,3408.0
Mikey AlThor,483,936,3291.0,0,0,0,3291.0
HussyofWhips,990,635,2895.0,0,0,0,2895.0
The Spikerer,652,675,2677.0,0,0,0,2677.0
NEBULA,2139,143,2568.0,0,0,0,2568.0
Labalaskus,1818,228,2502.0,0,0,0,2502.0
Stiele,1412,362,2498.0,0,0,0,2498.0
cerveau lent,2462,10,2492.0,0,0,0,2492.0
THorus,2005,162,2491.0,0,0,0,2491.0
Dark Asha,664,599,2461.0,0,0,0,2461.0
ArT,468,629,2355.0,0,0,0,2355.0
arcane,2318,5,2333.0,0,0,0,2333.0
Angelov ST,2090,72,2306.0,0,0,0,2306.0
BIGBAD PANDA,481,559,2158.0,0,0,0,2158.0
Cormund,1759,127,2140.0,0,0,0,2140.0
Cloud Strife,2103,0,2103.0,0,0,0,2103.0
eThea,1874,76,2102.0,0,0,0,2102.0
Blackrainbow,784,434,2086.0,0,0,0,2086.0
Loekas20,1528,149,1975.0,0,0,0,1975.0
Fenryrr,1961,0,1961.0,0,0,0,1961.0
Blackpromise,1935,0,1935.0,0,0,0,1935.0
Thantios,590,444,1922.0,0,0,0,1922.0
ODYSSEAS,1635,88,1899.0,0,0,0,1899.0
Black wulf,1860,1,1863.0,0,0,0,1863.0
The Rohirrim,939,294,1821.0,0,0,0,1821.0
HasturX,867,307,1788.0,0,0,0,1788.0
DarkLord Dan,1682,25,1757.0,0,0,0,1757.0
CastleFarmer,1710,5,1725.0,0,0,0,1725.0
CerberusS,1627,10,1657.0,0,0,0,1657.0
macgg,271,435,1576.0,0,0,0,1576.0
draconis,1348,66,1546.0,0,0,0,1546.0
ANAXIMANDROS,832,227,1513.0,0,0,0,1513.0
Cromwell 1,1340,52,1496.0,0,0,0,1496.0
volo,1375,38,1489.0,0,0,0,1489.0
Cassana,1476,0,1476.0,0,0,0,1476.0
ROMEOKTON,1463,1,1466.0,0,0,0,1466.0
Kaison Baby,667,266,1465.0,0,0,0,1465.0
SpanishFly,1331,7,1352.0,0,0,0,1352.0
HODOR,1309,13,1348.0,0,0,0,1348.0
Hohonok,18,440,1338.0,0,0,0,1338.0
GrimReaPer,1291,11,1324.0,0,0,0,1324.0
SCHUMI,855,150,1305.0,0,0,0,1305.0
NEBuULA,927,124,1299.0,0,0,0,1299.0
Mr Wrinkles,860,143,1289.0,0,0,0,1289.0
Avalonati,1058,76,1286.0,0,0,0,1286.0
NotTodayMate,933,102,1239.0,0,0,0,1239.0
SlackOfDoom,940,91,1213.0,0,0,0,1213.0
BRUTALES,204,326,1182.0,0,0,0,1182.0
MACACS,1065,29,1152.0,0,0,0,1152.0
SAFIN4O,1107,6,1125.0,0,0,0,1125.0
vampirewolfG,1014,36,1122.0,0,0,0,1122.0
Orlaith,1011,31,1104.0,0,0,0,1104.0
RaisingD,1036,10,1066.0,0,0,0,1066.0
SirBillyS,426,212,1062.0,0,0,0,1062.0
GoDDeSSoFWaR,1047,2,1053.0,0,0,0,1053.0
dingleberry,8,344,1040.0,0,0,0,1040.0
freeze3,998,0,998.0,0,0,0,998.0
Ramsden,933,18,987.0,0,0,0,987.0
BaelTheBard,895,2,901.0,0,0,0,901.0
Rubein,103,244,835.0,0,0,0,835.0
asparuhdo,642,58,816.0,0,0,0,816.0
ShakGaR,678,32,774.0,0,0,0,774.0
Munchies,590,43,719.0,0,0,0,719.0
GlossyDream,693,5,708.0,0,0,0,708.0
Evily Angel,697,3,706.0,0,0,0,706.0
imPIOus,642,0,642.0,0,0,0,642.0
BGBORED,614,1,617.0,0,0,0,617.0
parthXD,540,9,567.0,0,0,0,567.0
Bam,556,1,559.0,0,0,0,559.0
Lohki,140,138,554.0,0,0,0,554.0
FireStorM,379,16,427.0,0,0,0,427.0
BIG YEETUS,389,0,389.0,0,0,0,389.0
Longinus,371,0,371.0,0,0,0,371.0
KAWO,364,0,364.0,0,0,0,364.0
Misteria,329,7,350.0,0,0,0,350.0
NHL,345,1,348.0,0,0,0,348.0
Argeade 88,313,9,340.0,0,0,0,340.0
valkyria,314,6,332.0,0,0,0,332.0
swordss,283,3,292.0,0,0,0,292.0
Small Yeetus,271,0,271.0,0,0,0,271.0
Grey Jocu,249,0,249.0,0,0,0,249.0
Unlore,224,4,236.0,0,0,0,236.0
Theah,232,0,232.0,0,0,0,232.0
Ebano,209,0,209.0,0,0,0,209.0
Reaper Bear,189,0,189.0,0,0,0,189.0
Kiku,150,0,150.0,0,0,0,150.0
Mordreon,148,0,148.0,0,0,0,148.0
OnePieceOfAl,141,0,141.0,0,0,0,141.0
PIuRRulP,140,0,140.0,0,0,0,140.0
Fat Bear,134,0,134.0,0,0,0,134.0
DucdeNalfar,129,0,129.0,0,0,0,129.0
Adaere,0,0,0.0,0,0,0,0.0
Nain Phomane,0,0,0.0,0,0,0,0.0
